R nm poro	poblacion	R nm cuello	poblacion
101.9660788	7.97492E-05	1.02E+02	5.11591E-05
68.22163008	0.000735348	68.22163008	0.000299531
51.33728429	0.001390947	5.13E+01	0.000547903
41.19733917	0.002050388	4.12E+01	0.000797771
34.42988439	0.002535301	3.44E+01	0.000986452
29.58980751	0.003027172	2.96E+01	0.001177844
25.9545454	0.003525234	2.60E+01	0.001371649
23.12266812	0.004028588	2.31E+01	0.001567517
20.85331245	0.004536331	2.09E+01	0.00165857
18.99319707	0.005047595	1.90E+01	0.001688372
17.44013025	0.005561564	1.74E+01	0.001704872
16.12336007	0.006077478	1.61E+01	0.001707765
14.99234599	0.005326068	1.50E+01	0.001696789
14.01002181	0.003103477	1.40E+01	0.001778242
13.14858501	0.000708712	1.31E+01	0.001908031
12.38677217	-0.001858119	1.24E+01	0.002037731
11.70804265	-0.00459674	1.17E+01	0.002167225
11.09933578	-0.006238147	1.11E+01	0.002296404
10.55020096	-0.006578557	1.06E+01	0.002425172
10.0521762	-0.00691687	1.01E+01	0.002660146
9.598336263	-0.007252925	9.60E+00	0.003610541
9.182958611	-0.000125196	9.18E+00	0.004594536
8.801272884	0.008056747	8.80E+00	0.005611801
8.449270504	0.016562167	8.45E+00	0.006662003
8.12355822	0.025388364	8.12E+00	7.64E-03
7.821244187	0.03453259	7.82E+00	7.93E-03
7.539848469	0.036530673	7.54E+00	8.22E-03
7.277232046	0.037789486	7.28E+00	8.51E-03
7.031540031	0.039037032	7.03E+00	8.79E-03
6.80E+00	0.053227582	6.80E+00	9.08E-03
6.58E+00	0.082112976	6.58E+00	1.08E-02
6.38E+00	0.111716203	6.38E+00	1.25E-02
6.19E+00	0.142029618	6.19E+00	1.44E-02
6.01E+00	0.17304565	6.01E+00	1.62E-02
5.83E+00	0.191802461	5.83E+00	1.81E-02
5.67E+00	0.196540733	5.67E+00	1.86E-02
5.52E+00	0.201230059	5.52E+00	1.91E-02
5.37E+00	0.246079167	5.37E+00	1.96E-02
5.23E+00	0.328520849	5.23E+00	1.87E-02
4.97E+00	0.414556058	4.97E+00	1.76E-02
