Potencial	Intensidad
mv	uA
-199.556700	-0.214969
-199.336700	-0.208945
-198.878700	-0.199726
-198.152300	-0.188905
-197.167600	-0.176670
-196.176100	-0.169473
-195.160100	-0.164088
-194.178800	-0.160079
-193.172300	-0.155907
-192.158200	-0.151248
-191.163400	-0.146555
-190.144500	-0.141221
-189.159400	-0.135908
-188.167700	-0.132274
-187.163700	-0.128554
-186.174100	-0.124285
-185.186500	-0.120542
-184.170000	-0.116975
-183.152400	-0.114701
-182.155800	-0.113143
-181.123800	-0.112095
-180.142500	-0.110504
-179.165100	-0.107642
-178.159700	-0.105152
-177.189600	-0.102323
-176.195800	-0.098842
-175.212600	-0.095998
-174.227400	-0.092634
-173.216600	-0.088439
-172.218900	-0.086116
-171.225400	-0.084368
-170.212700	-0.083007
-169.207700	-0.083170
-168.196500	-0.081993
-167.169300	-0.080404
-166.180700	-0.078813
-165.219600	-0.076180
-164.213500	-0.073395
-163.243300	-0.070817
-162.235200	-0.067840
-161.207100	-0.065762
-160.207400	-0.063615
-159.171000	-0.062275
-158.152700	-0.061564
-157.126100	-0.060600
-156.133900	-0.060299
-155.143200	-0.058668
-154.146800	-0.056723
-153.181600	-0.055042
-152.179800	-0.052289
-151.178600	-0.050074
-150.195500	-0.048786
-149.183800	-0.047265
-148.205900	-0.046428
-147.226400	-0.045651
-146.215300	-0.044200
-145.223800	-0.043369
-144.198000	-0.042587
-143.196300	-0.042271
-142.223000	-0.041048
-141.213900	-0.039071
-140.228300	-0.037265
-139.232700	-0.034572
-138.220600	-0.032853
-137.218800	-0.031655
-136.223100	-0.029867
-135.203600	-0.028421
-134.232200	-0.027594
-133.245400	-0.027324
-132.230600	-0.027288
-131.241200	-0.027427
-130.213800	-0.026522
-129.212400	-0.024832
-128.213400	-0.022937
-127.236200	-0.021725
-126.250700	-0.020700
-125.252700	-0.019779
-124.278700	-0.019373
-123.252500	-0.017490
-122.243900	-0.016396
-121.246700	-0.016214
-120.227300	-0.015740
-119.236600	-0.015988
-118.236200	-0.015752
-117.242100	-0.014440
-116.269100	-0.013276
-115.268400	-0.012346
-114.277600	-0.010657
-113.287700	-0.009634
-112.275800	-0.008979
-111.280800	-0.007689
-110.274000	-0.007745
-109.257700	-0.007206
-108.249500	-0.007107
-107.242300	-0.006475
-106.229600	-0.005292
-105.210900	-0.004647
-104.210900	-0.003057
-103.196500	-0.002043
-102.204100	-0.001422
-101.223500	-0.000225
-100.198300	0.002240
-99.222670	0.002019
-98.231090	0.002717
-97.246190	0.003540
-96.280780	0.002444
-95.289560	0.003829
-94.280530	0.004474
-93.262780	0.005036
-92.266960	0.006666
-91.245760	0.007639
-90.241930	0.008799
-89.240540	0.009793
-88.233080	0.009537
-87.238870	0.009950
-86.236110	0.011331
-85.239580	0.013339
-84.240500	0.014853
-83.236160	0.016324
-82.243540	0.016292
-81.233580	0.015676
-80.223420	0.016435
-79.217120	0.017139
-78.222580	0.018321
-77.237170	0.019223
-76.257400	0.019636
-75.278680	0.019919
-74.277870	0.020713
-73.289990	0.022229
-72.287960	0.023663
-71.275890	0.023481
-70.302280	0.023437
-69.306350	0.023431
-68.317470	0.023908
-67.313450	0.025928
-66.292040	0.026972
-65.291940	0.027874
-64.265950	0.028635
-63.289820	0.028805
-62.302490	0.030161
-61.273530	0.031648
-60.274570	0.032491
-59.270210	0.033252
-58.267570	0.034228
-57.285300	0.034401
-56.292280	0.034595
-55.272600	0.035745
-54.235540	0.036203
-53.238190	0.036706
-52.233280	0.038138
-51.247260	0.039724
-50.272070	0.040640
-49.273080	0.042453
-48.258350	0.043815
-47.257800	0.044511
-46.254510	0.046266
-45.249370	0.046623
-44.263850	0.046663
-43.260450	0.046735
-42.258220	0.047037
-41.240510	0.047821
-40.251850	0.049075
-39.268360	0.050426
-38.283020	0.050962
-37.299050	0.051991
-36.282360	0.054065
-35.263970	0.056687
-34.254540	0.058591
