Tension	Intensidad	Tension	Intensidad
mV	uA	mV	uA
Au CNEA Calcinado Ciclo 0 Ru 0.1mM	Au CNEA Calcinado Ciclo 1 Ru 0.1mM	Au CNEA Calcinado Ciclo 1 Ru 0.1mM	Au CNEA Calcinado Ciclo 1 Ru 0.1mM
-600.191	-3.674827	-600.0486	-1.384799
-599.9493	-3.653876	-599.8148	-1.362223
-599.4952	-3.625652	-599.321	-1.33156
-598.7739	-3.591042	-598.5812	-1.295462
-597.7837	-3.551191	-597.5936	-1.252626
-596.7804	-3.529143	-596.5798	-1.228532
-595.7363	-3.510242	-595.5884	-1.208292
-594.7274	-3.494276	-594.5911	-1.189917
-593.7346	-3.478266	-593.5667	-1.173057
-592.7584	-3.458895	-592.5592	-1.157933
-591.7666	-3.440773	-591.5482	-1.144522
-590.771	-3.423643	-590.5614	-1.131772
-589.7816	-3.405585	-589.5877	-1.117856
-588.785	-3.390974	-588.5996	-1.105002
-587.8022	-3.375316	-587.6127	-1.091969
-586.8055	-3.357109	-586.5891	-1.079738
-585.7938	-3.341973	-585.5875	-1.07207
-584.7961	-3.327606	-584.6039	-1.063883
-583.7938	-3.311794	-583.613	-1.054755
-582.7933	-3.299016	-582.6356	-1.046583
-581.8095	-3.285094	-581.6389	-1.036218
-580.804	-3.270162	-580.6425	-1.025808
-579.796	-3.25521	-579.6301	-1.015441
-578.7972	-3.240438	-578.6272	-1.005158
-577.7979	-3.224852	-577.615	-0.995083
-576.7921	-3.209008	-576.6121	-0.984561
-575.7928	-3.19576	-575.6293	-0.977168
-574.7844	-3.180237	-574.6302	-0.968816
-573.7689	-3.164329	-573.6218	-0.95963
-572.77	-3.151799	-572.6194	-0.955202
-571.7897	-3.1379	-571.6135	-0.946212
-570.7893	-3.125545	-570.6156	-0.936513
-569.8007	-3.115415	-569.6409	-0.928724
-568.794	-3.100876	-568.6328	-0.916886
-567.7698	-3.087677	-567.6124	-0.905752
-566.7623	-3.072206	-566.6011	-0.896787
-565.7438	-3.05668	-565.5884	-0.888356
-564.7398	-3.043519	-564.5796	-0.881185
-563.7395	-3.028508	-563.593	-0.875668
-562.7437	-3.016181	-562.5959	-0.869635
-561.7476	-3.002762	-561.6045	-0.863047
-560.7592	-2.988587	-560.6033	-0.855562
-559.7727	-2.976796	-559.5974	-0.849934
-558.7839	-2.964961	-558.6154	-0.843064
-557.8046	-2.952981	-557.6046	-0.834128
-556.8102	-2.943358	-556.6317	-0.827114
-555.8006	-2.931153	-555.6427	-0.81727
-554.7784	-2.917224	-554.606	-0.806962
-553.759	-2.904497	-553.6097	-0.800002
-552.7589	-2.887823	-552.5983	-0.792752
-551.7607	-2.875908	-551.5911	-0.785187
-550.7798	-2.867699	-550.6098	-0.781394
-549.7938	-2.856307	-549.631	-0.775882
-548.7887	-2.845703	-548.6362	-0.770333
-547.7854	-2.831279	-547.6309	-0.765588
-546.7834	-2.818378	-546.6378	-0.758685
-545.7629	-2.809697	-545.6353	-0.753182
-544.7581	-2.803859	-544.6165	-0.74639
-543.763	-2.797916	-543.6104	-0.742192
-542.7549	-2.786875	-542.6102	-0.738419
-541.7528	-2.773756	-541.5791	-0.732936
-540.757	-2.760927	-540.5851	-0.731772
-539.7661	-2.747939	-539.6116	-0.72807
-538.7791	-2.735443	-538.6097	-0.721976
-537.7818	-2.723892	-537.634	-0.719603
-536.8036	-2.710391	-536.6473	-0.713851
-535.7817	-2.697989	-535.6349	-0.709184
-534.7763	-2.687223	-534.6353	-0.706679
-533.7823	-2.676452	-533.6384	-0.70155
-532.7672	-2.66714	-532.6459	-0.698179
-531.7985	-2.657613	-531.6587	-0.693847
-530.8129	-2.646764	-530.6759	-0.690056
-529.8268	-2.635386	-529.6779	-0.685819
-528.8313	-2.622848	-528.6502	-0.678836
-527.8184	-2.61038	-527.6599	-0.67387
-526.8043	-2.596401	-526.6413	-0.668753
-525.7892	-2.581144	-525.624	-0.664483
-524.8069	-2.568023	-524.6315	-0.663195
-523.7982	-2.555609	-523.6128	-0.662015
-522.8158	-2.54563	-522.5976	-0.660476
-521.833	-2.538692	-521.5953	-0.660347
-520.8035	-2.52991	-520.6068	-0.65787
-519.8079	-2.52041	-519.5889	-0.653348
-518.8018	-2.511567	-518.61	-0.650289
-517.7875	-2.499554	-517.6123	-0.643574
-516.772	-2.488321	-516.6071	-0.63708
-515.7764	-2.477201	-515.6029	-0.631182
-514.7587	-2.466214	-514.5708	-0.627088
-513.7643	-2.456245	-513.5726	-0.625511
-512.7723	-2.446291	-512.5719	-0.625726
-511.7627	-2.436341	-511.5951	-0.626558
-510.7785	-2.424694	-510.6194	-0.626104
-509.7612	-2.415249	-509.6016	-0.624315
-508.7527	-2.408083	-508.6188	-0.62284
-507.7627	-2.400542	-507.6277	-0.619196
-506.7594	-2.393972	-506.6084	-0.611904
-505.7717	-2.386406	-505.6268	-0.605768
-504.7892	-2.376786	-504.618	-0.597034
-503.7832	-2.366677	-503.6138	-0.589993
-502.7697	-2.357056	-502.6451	-0.585016
-501.7677	-2.346701	-501.6469	-0.57902
-500.7629	-2.336312	-500.6535	-0.57585
-499.7768	-2.326051	-499.6379	-0.573796
-498.7921	-2.313615	-498.6421	-0.57378
-497.7943	-2.302088	-497.6476	-0.574797
-496.8055	-2.291246	-496.6318	-0.575115
-495.7882	-2.283063	-495.6313	-0.576546
-494.8021	-2.276461	-494.6227	-0.575792
-493.8012	-2.268277	-493.6022	-0.574038
-492.798	-2.261954	-492.6111	-0.573824
-491.798	-2.250971	-491.6307	-0.570101
-490.7629	-2.239802	-490.6239	-0.566027
-489.7576	-2.231841	-489.6389	-0.562901
-488.7556	-2.219833	-488.6239	-0.555486
-487.7629	-2.210381	-487.6161	-0.551159
-486.8131	-2.200809	-486.6266	-0.548604
-485.8372	-2.18902	-485.6349	-0.54577
-484.8284	-2.180005	-484.6576	-0.544407
-483.8278	-2.171172	-483.6507	-0.541204
-482.7898	-2.162971	-482.6404	-0.537614
-481.7714	-2.155795	-481.6406	-0.534528
-480.7943	-2.146312	-480.649	-0.529927
-479.7849	-2.137381	-479.6598	-0.526794
-478.7935	-2.127762	-478.6631	-0.521699
-477.7886	-2.116312	-477.6406	-0.513759
-476.7757	-2.106944	-476.622	-0.509709
-475.7848	-2.096082	-475.6177	-0.504456
-474.7704	-2.08604	-474.601	-0.499394
-473.7974	-2.077509	-473.6066	-0.497851
-472.7837	-2.066884	-472.6189	-0.493988
-471.7867	-2.05793	-471.6133	-0.488957
-470.8078	-2.048968	-470.64	-0.48397
-469.7993	-2.040379	-469.6506	-0.479074
-468.8044	-2.032962	-468.646	-0.473423
-467.7968	-2.023772	-467.6528	-0.467686
-466.7876	-2.014094	-466.6389	-0.461809
-465.7576	-2.004534	-465.647	-0.455092
-464.7586	-1.993519	-464.6163	-0.444873
-463.7607	-1.985683	-463.6039	-0.43874
-462.7601	-1.977308	-462.6046	-0.429711
-461.7551	-1.966331	-461.5918	-0.417203
-460.7643	-1.956546	-460.6375	-0.41557
-459.7744	-1.945732	-459.6471	-0.413891
-458.7795	-1.935778	-458.6376	-0.412065
-457.8018	-1.928545	-457.6436	-0.41445
-456.783	-1.921148	-456.6143	-0.410552
-455.7849	-1.913324	-455.6034	-0.401419
-454.7775	-1.905077	-454.6144	-0.394717
-453.7801	-1.896922	-453.6123	-0.386036
-452.806	-1.887384	-452.6238	-0.376663
-451.8091	-1.878189	-451.6118	-0.366617
-450.8094	-1.869797	-450.6291	-0.359455
-449.8188	-1.859877	-449.6221	-0.351618
-448.806	-1.84932	-448.6013	-0.343333
-447.8027	-1.838968	-447.6186	-0.337111
-446.8212	-1.827936	-446.5992	-0.327982
-445.812	-1.817593	-445.5859	-0.317125
-444.8037	-1.811154	-444.584	-0.308252
-443.7923	-1.803837	-443.5943	-0.298059
-442.7846	-1.795846	-442.605	-0.287944
-441.7715	-1.788018	-441.625	-0.280406
-440.7915	-1.778168	-440.6361	-0.268519
-439.7769	-1.766043	-439.623	-0.255726
-438.7725	-1.757754	-438.6094	-0.241803
-437.7751	-1.750056	-437.5885	-0.228368
-436.7813	-1.74395	-436.5867	-0.217952
-435.8174	-1.736094	-435.5985	-0.208991
-434.8077	-1.727228	-434.5962	-0.199926
-433.8213	-1.718398	-433.62	-0.189836
-432.805	-1.707666	-432.5997	-0.177637
-431.7903	-1.701076	-431.5972	-0.165975
-430.8007	-1.69163	-430.6176	-0.155179
-429.7935	-1.681676	-429.6272	-0.140553
-428.7762	-1.673083	-428.6602	-0.127361
-427.7653	-1.663128	-427.6669	-0.108974
-426.7723	-1.654414	-426.6573	-0.0894
-425.7687	-1.646286	-425.6466	-0.074005
-424.7825	-1.637259	-424.6378	-0.058057
-423.7868	-1.628163	-423.6409	-0.044696
-422.7721	-1.617549	-422.6324	-0.033814
-421.7712	-1.608209	-421.6261	-0.018138
