Tension	Intensidad	Tension	Intensidad
mV	uA	mV	uA
Au F127 INTI Baja Temperatura CIclo 1 RU 0.1mM	Au F127 INTI Baja Temperatura CIclo 1 RU 0.1mM	Au F127 INTI Baja Temperatura Ciclo 2  RU 0.1mM	Au F127 INTI Baja Temperatura Ciclo 2  RU 0.1mM
-600.02	-2.157441	-599.9501	-1.328731
-599.7921	-2.147582	-599.7127	-1.319614
-599.3201	-2.134591	-599.2283	-1.307503
-598.5995	-2.117189	-598.5094	-1.292712
-597.6085	-2.099457	-597.5272	-1.275765
-596.6178	-2.088808	-596.5593	-1.265211
-595.6142	-2.078635	-595.5706	-1.253882
-594.6146	-2.069861	-594.5795	-1.245241
-593.6294	-2.059025	-593.5704	-1.23648
-592.6255	-2.049232	-592.5612	-1.229626
-591.6362	-2.03824	-591.5527	-1.224111
-590.6348	-2.028629	-590.5457	-1.217311
-589.6252	-2.020725	-589.561	-1.21029
-588.6276	-2.013495	-588.5574	-1.201916
-587.6376	-2.005627	-587.5658	-1.19468
-586.6342	-1.997098	-586.5708	-1.187068
-585.6581	-1.989274	-585.5672	-1.180818
-584.6652	-1.98069	-584.5723	-1.17404
-583.6366	-1.97537	-583.5759	-1.164948
-582.6604	-1.968327	-582.5775	-1.157456
-581.6601	-1.959009	-581.5891	-1.149662
-580.6638	-1.949313	-580.5853	-1.144495
-579.6664	-1.93849	-579.572	-1.140202
-578.6486	-1.93008	-578.5593	-1.13512
-577.6446	-1.922352	-577.5674	-1.128803
-576.6249	-1.914552	-576.5629	-1.12139
-575.639	-1.907866	-575.5762	-1.115701
-574.6439	-1.899247	-574.5895	-1.109063
-573.6305	-1.888766	-573.5588	-1.102901
-572.6507	-1.881011	-572.5655	-1.097669
-571.644	-1.87401	-571.5684	-1.08943
-570.6217	-1.868094	-570.556	-1.083175
-569.6306	-1.863512	-569.5673	-1.077516
-568.6216	-1.857201	-568.5406	-1.07167
-567.6237	-1.849137	-567.5258	-1.068235
-566.632	-1.840966	-566.5214	-1.063589
-565.6384	-1.833372	-565.5046	-1.057854
-564.6298	-1.825278	-564.5174	-1.051215
-563.628	-1.817198	-563.5241	-1.04415
-562.637	-1.809533	-562.5356	-1.036572
-561.6095	-1.801354	-561.5558	-1.02966
-560.6216	-1.79392	-560.5593	-1.021866
-559.6414	-1.787526	-559.5563	-1.015722
-558.6577	-1.781654	-558.5616	-1.00941
-557.6613	-1.776085	-557.5588	-1.002607
-556.653	-1.770185	-556.5668	-0.9986
-555.6379	-1.763385	-555.5822	-0.99203
-554.6331	-1.756595	-554.5635	-0.986561
-553.6448	-1.749859	-553.5651	-0.982229
-552.6545	-1.742707	-552.5664	-0.976035
-551.6427	-1.734441	-551.5544	-0.97013
-550.631	-1.726481	-550.5552	-0.963083
-549.6212	-1.718388	-549.5493	-0.955843
