Tension	Intensidad
mv	uA
Au	Control
202.3	-0.748541
201.2877	-0.818186
200.2838	-0.88622
199.2939	-0.95743
198.2878	-1.029263
197.2782	-1.098889
196.2501	-1.171432
195.2388	-1.241869
194.2342	-1.310113
193.2472	-1.382234
192.2597	-1.453522
191.291	-1.527412
190.2954	-1.603227
189.2904	-1.678697
188.2924	-1.757077
187.2587	-1.834795
186.2419	-1.91247
185.2384	-1.988304
184.2416	-2.060193
183.2295	-2.132269
182.2622	-2.203917
181.2927	-2.273768
180.2796	-2.347667
179.305	-2.42156
178.309	-2.494616
177.2942	-2.571589
176.2957	-2.644951
175.2843	-2.719432
174.253	-2.795175
173.2427	-2.867751
172.2564	-2.941188
171.2491	-3.013093
170.2742	-3.084985
169.2821	-3.157892
168.2832	-3.229493
167.2838	-3.302328
166.2569	-3.371974
165.2544	-3.440084
164.2328	-3.51118
163.2472	-3.578025
162.2625	-3.643414
161.2604	-3.710527
160.283	-3.772787
159.2837	-3.835357
158.2852	-3.900497
157.2999	-3.96113
156.2847	-4.024139
155.2771	-4.085593
154.2724	-4.145905
153.2629	-4.206408
152.2878	-4.26253
151.2895	-4.321345
150.3104	-4.377758
149.3045	-4.432704
148.2856	-4.490476
147.2661	-4.545452
146.2434	-4.598001
145.2501	-4.651491
144.2547	-4.700704
143.26	-4.746511
142.266	-4.791949
141.2496	-4.834601
140.2482	-4.875648
139.2694	-4.917515
138.2757	-4.96178
137.2736	-5.005304
136.2437	-5.047526
135.2226	-5.088833
134.1993	-5.126712
133.2221	-5.158099
132.2444	-5.192025
131.2567	-5.223579
130.2902	-5.252921
129.2764	-5.286386
128.2993	-5.316494
127.3002	-5.344779
126.2764	-5.373153
125.2927	-5.40046
124.2826	-5.426712
123.2944	-5.451705
122.2991	-5.473227
121.2809	-5.493675
120.2792	-5.510058
119.2626	-5.529316
118.276	-5.549011
117.2789	-5.565084
116.2684	-5.584089
115.2797	-5.597661
114.2753	-5.609327
113.2723	-5.623107
112.2724	-5.632627
111.273	-5.642346
110.2799	-5.651979
109.312	-5.658693
108.2997	-5.667465
107.3019	-5.674027
106.2967	-5.681004
105.2726	-5.688504
104.3114	-5.689666
103.3131	-5.690795
102.3201	-5.68979
101.3446	-5.687117
100.3362	-5.690678
99.3509	-5.694633
98.35213	-5.698553
97.33257	-5.70212
96.31073	-5.70059
95.29387	-5.697464
94.27563	-5.69147
93.27077	-5.683883
92.26872	-5.677339
91.26816	-5.668869
90.25912	-5.661248
89.25713	-5.655856
88.25468	-5.647351
87.23077	-5.642373
86.22583	-5.635568
85.21805	-5.625115
84.21791	-5.615273
83.21936	-5.603336
82.24573	-5.590563
81.24744	-5.579532
80.26916	-5.568871
79.27904	-5.555183
78.25954	-5.543237
77.26871	-5.529634
76.27686	-5.514012
75.28189	-5.499046
74.29196	-5.484179
73.25834	-5.470109
72.24109	-5.455364
71.25459	-5.44097
70.26009	-5.424238
69.295	-5.405768
68.29058	-5.390388
67.27617	-5.373768
66.27573	-5.3538
65.26623	-5.335441
64.28061	-5.315597
63.27951	-5.295842
62.27212	-5.2813
61.27624	-5.265586
60.26949	-5.249944
59.28897	-5.233505
58.30585	-5.216376
57.31843	-5.198847
56.32877	-5.178935
55.31456	-5.161055
54.28151	-5.141577
53.28968	-5.119308
52.2909	-5.10048
51.29214	-5.077353
50.31709	-5.05366
49.32515	-5.034516
48.31772	-5.012189
47.3413	-4.993454
46.34605	-4.975677
45.32644	-4.956124
44.33042	-4.937528
43.29543	-4.91808
42.28536	-4.899073
41.26908	-4.879396
40.27305	-4.858232
39.27923	-4.837696
38.28883	-4.816746
37.31158	-4.795821
36.28621	-4.778121
35.31333	-4.758517
34.29962	-4.737983
33.27687	-4.71771
32.30624	-4.693993
31.27945	-4.670603
30.30034	-4.648646
29.33399	-4.62617
28.32638	-4.606928
27.33301	-4.587708
26.3195	-4.568091
25.30268	-4.550114
24.31039	-4.53031
23.31273	-4.512517
22.32656	-4.493904
21.34489	-4.473414
20.34647	-4.453884
19.35815	-4.433017
18.35436	-4.41182
17.33896	-4.393989
16.32388	-4.375228
15.31406	-4.355876
14.32443	-4.337495
13.3361	-4.315921
12.32578	-4.292715
11.34235	-4.271754
10.32754	-4.251161
9.33068	-4.233284
8.362903	-4.216624
7.343974	-4.199042
6.33068	-4.181619
5.317103	-4.159828
4.306368	-4.142576
3.308794	-4.123434
2.336313	-4.102567
1.349242	-4.085657
0.370031	-4.064435
-0.597979	-4.045764
-1.565042	-4.024339
-2.561088	-4.006133
-3.534731	-3.987379
-4.528832	-3.968161
-5.527652	-3.953881
-6.514042	-3.936115
-7.500648	-3.916939
-8.490611	-3.899091
-9.494367	-3.880915
-10.46944	-3.861213
-11.4934	-3.845863
-12.49171	-3.82919
-13.48476	-3.811937
-14.50986	-3.797358
-15.50839	-3.780849
-16.52117	-3.764204
-17.53448	-3.745881
-18.5211	-3.726479
-19.54243	-3.70785
-20.55997	-3.689235
-21.54919	-3.673227
-22.56062	-3.657173
-23.52297	-3.640159
-24.50165	-3.622262
-25.51228	-3.601376
-26.49722	-3.580636
-27.51693	-3.563148
-28.51253	-3.548285
-29.50738	-3.534495
-30.52193	-3.521805
-31.54533	-3.506771
-32.53878	-3.490832
-33.54927	-3.477145
-34.54886	-3.460812
-35.53633	-3.44436
-36.56715	-3.427845
-37.55977	-3.41096
-38.5453	-3.394571
-39.53972	-3.377948
-40.51231	-3.363208
-41.50755	-3.347826
-42.5277	-3.332255
-43.53603	-3.316994
-44.55348	-3.299407
-45.55138	-3.283608
-46.5587	-3.270593
-47.54836	-3.256806
-48.54581	-3.244287
-49.55228	-3.231319
-50.53071	-3.21543
-51.50577	-3.199904
-52.49388	-3.184907
-53.48563	-3.170042
-54.48132	-3.157062
-55.50063	-3.145394
-56.50488	-3.132732
-57.52253	-3.118045
-58.53923	-3.103649
-59.5392	-3.089329
-60.54939	-3.07447
-61.5454	-3.060636
-62.55728	-3.046584
-63.5566	-3.031915
-64.54509	-3.018499
-65.54517	-3.005408
-66.53865	-2.99333
-67.56579	-2.983246
-68.57397	-2.970078
-69.57696	-2.958825
-70.56711	-2.94562
-71.55793	-2.931367
-72.54999	-2.919631
-73.55391	-2.906048
-74.55679	-2.893553
-75.55231	-2.881704
-76.56332	-2.870378
-77.55846	-2.857666
-78.55696	-2.847596
-79.5615	-2.837182
-80.55883	-2.825565
-81.57298	-2.813963
-82.57664	-2.802921
-83.5671	-2.790017
-84.56075	-2.778006
-85.53543	-2.768464
-86.53889	-2.757011
-87.52991	-2.745785
-88.52795	-2.73445
-89.53274	-2.723156
-90.50566	-2.71055
-91.50168	-2.699916
-92.4887	-2.69072
-93.49365	-2.681127
-94.51115	-2.671957
-95.53603	-2.661332
-96.54934	-2.650598
-97.54284	-2.639014
-98.51773	-2.627061
-99.49663	-2.615428
-100.4839	-2.603722
-101.473	-2.593966
-102.4972	-2.584586
-103.4889	-2.57501
-104.4888	-2.566153
-105.502	-2.557025
-106.5149	-2.547217
-107.5323	-2.538627
-108.5335	-2.526676
-109.5312	-2.514949
-110.5137	-2.505192
-111.5167	-2.494717
-112.5337	-2.487416
-113.5384	-2.480676
-114.5535	-2.472589
-115.5372	-2.46395
-116.5498	-2.454711
-117.5629	-2.442615
-118.5689	-2.432467
-119.5928	-2.424245
-120.5817	-2.417514
-121.5738	-2.412171
-122.562	-2.404906
-123.5658	-2.397785
-124.5804	-2.388765
-125.5869	-2.379932
-126.5946	-2.371898
-127.5881	-2.362201
-128.5742	-2.352242
-129.5556	-2.3427
-130.5526	-2.334345
-131.5413	-2.325942
-132.5421	-2.319535
-133.5537	-2.314847
-134.5636	-2.30865
-135.5873	-2.300295
-136.5834	-2.290124
-137.6082	-2.279725
-138.584	-2.270544
-139.5616	-2.265831
-140.5581	-2.261813
-141.5209	-2.255873
-142.5279	-2.251013
-143.5392	-2.246141
-144.5645	-2.241121
-145.5725	-2.235871
-146.5803	-2.22947
-147.5721	-2.220585
-148.5564	-2.211727
-149.5545	-2.205279
-150.5465	-2.197623
-151.5293	-2.190906
-152.5331	-2.185918
-153.5353	-2.17826
-154.5208	-2.169702
-155.5343	-2.163188
-156.5272	-2.155868
-157.5368	-2.15129
-158.5613	-2.148898
-159.5683	-2.146313
-160.5612	-2.142429
-161.5318	-2.13739
-162.5329	-2.133438
-163.5441	-2.12736
-164.5428	-2.122785
-165.5679	-2.118451
-166.5641	-2.112934
-167.55	-2.107459
-168.5462	-2.102699
-169.5599	-2.098172
-170.5591	-2.093187
-171.5697	-2.090016
-172.5795	-2.085845
-173.5539	-2.07871
-174.572	-2.072968
-175.5549	-2.067452
-176.5644	-2.062758
-177.5781	-2.060963
-178.5537	-2.059224
-179.5545	-2.057057
-180.538	-2.053174
-181.5308	-2.050013
-182.5246	-2.04703
-183.5273	-2.043128
-184.5522	-2.040979
-185.5356	-2.037606
-186.5374	-2.032948
-187.5361	-2.029802
-188.5157	-2.026664
-189.5345	-2.022925
-190.536	-2.020406
-191.533	-2.016389
-192.5362	-2.012233
-193.5381	-2.008846
-194.5576	-2.006725
-195.5563	-2.005556
-196.5469	-2.004388
-197.5659	-2.004245
-198.5671	-2.002329
-199.1373	-1.964996
-199.2059	-1.915309
-198.7403	-1.856421
-197.7879	-1.791345
-196.7872	-1.75506
-195.7835	-1.725162
-194.7882	-1.697901
-193.7988	-1.669792
-192.8165	-1.644968
-191.8098	-1.622136
-190.8043	-1.602407
-189.7776	-1.584741
-188.7485	-1.569442
-187.7805	-1.552618
-186.7958	-1.536397
-185.8135	-1.521998
-184.8219	-1.504434
-183.8034	-1.489922
-182.8053	-1.474624
-181.8013	-1.458766
-180.8085	-1.443031
-179.8175	-1.429234
-178.8237	-1.415023
-177.8284	-1.401026
-176.8192	-1.388675
-175.8214	-1.371647
-174.808	-1.359472
-173.8377	-1.346015
-172.85	-1.334082
-171.8462	-1.323104
-170.8569	-1.310062
-169.8174	-1.300947
-168.7958	-1.28792
-167.7862	-1.278116
-166.7845	-1.267075
-165.8061	-1.256165
-164.8232	-1.247121
-163.8215	-1.234378
-162.8054	-1.224983
-161.7891	-1.213333
-160.7992	-1.201165
-159.7996	-1.192954
-158.7933	-1.181153
-157.7706	-1.17059
-156.7564	-1.162101
