Tension	Intensidad
mV	uA
SOlucion	Fe
202.3694	-0.315862
201.3523	-0.323234
200.3521	-0.332717
199.3232	-0.342422
198.2957	-0.35168
197.3004	-0.359463
196.2855	-0.366584
195.2713	-0.372923
194.274	-0.379276
193.2586	-0.387366
192.2599	-0.392658
191.2651	-0.399444
190.2562	-0.406803
189.2688	-0.411817
188.2793	-0.419065
187.2816	-0.424239
186.2723	-0.431293
185.2605	-0.439385
184.223	-0.444183
183.1981	-0.450496
182.204	-0.456804
181.2184	-0.463337
180.2424	-0.473272
179.2674	-0.482784
178.3034	-0.489707
177.3106	-0.498094
176.2976	-0.505915
175.2845	-0.513252
174.2533	-0.520605
173.2391	-0.527428
172.2494	-0.533786
171.2637	-0.5396
170.2656	-0.546183
169.2648	-0.552129
168.2812	-0.557096
167.2703	-0.564689
166.2633	-0.571135
165.2675	-0.575743
164.2343	-0.582261
163.2331	-0.587581
162.2359	-0.594913
161.2161	-0.604372
160.2238	-0.611683
159.2309	-0.620452
158.2318	-0.6269
157.2476	-0.632833
156.2489	-0.641591
155.2302	-0.648172
154.2298	-0.655444
153.2508	-0.662803
152.27	-0.667716
151.2951	-0.674066
150.2959	-0.680157
149.2826	-0.686108
148.2707	-0.693264
147.2752	-0.697604
146.2833	-0.701558
145.2686	-0.706887
144.2717	-0.712505
143.2506	-0.719781
142.2442	-0.728655
141.2507	-0.736357
140.2719	-0.742998
139.2739	-0.748681
138.2672	-0.753955
137.2753	-0.758675
136.253	-0.764686
135.2553	-0.771858
134.2688	-0.77843
133.277	-0.785335
132.2656	-0.791135
131.2717	-0.796493
130.2666	-0.801021
129.2503	-0.806356
128.266	-0.811668
127.2784	-0.818319
126.2873	-0.825703
125.2947	-0.833005
124.2941	-0.840164
123.2912	-0.846338
122.3004	-0.85265
121.2962	-0.856584
120.3018	-0.860922
119.2938	-0.866714
118.2763	-0.871799
117.2844	-0.879181
116.2723	-0.886325
115.2727	-0.891667
114.283	-0.898507
113.2753	-0.90533
112.2823	-0.910028
111.2659	-0.915176
110.2514	-0.919613
109.2442	-0.924344
108.2398	-0.930834
107.2496	-0.937463
106.2648	-0.944476
105.2808	-0.950299
104.2989	-0.954164
103.3149	-0.95907
102.3219	-0.961943
