Tension	Intensidad
mV	uA
CNEA	Calcinado
202.331	-0.629629
201.3312	-0.71041
200.2985	-0.788775
199.2707	-0.868565
198.27	-0.949819
197.2636	-1.025819
196.2658	-1.107099
195.2543	-1.189621
194.238	-1.269853
193.2204	-1.355743
192.223	-1.437948
191.2514	-1.516103
190.2531	-1.598447
189.2508	-1.683074
188.2615	-1.767564
187.252	-1.856299
186.2526	-1.93723
185.2535	-2.016884
184.254	-2.100747
183.2679	-2.184114
182.2677	-2.27423
181.2867	-2.359335
180.2653	-2.444324
179.2639	-2.525785
178.2726	-2.602256
177.2937	-2.685484
176.3238	-2.766021
175.3206	-2.849971
174.3158	-2.939399
173.2872	-3.025283
172.2644	-3.110726
171.2542	-3.194527
170.2581	-3.276218
169.2369	-3.356406
168.254	-3.432428
167.2731	-3.509704
166.273	-3.586147
165.2966	-3.661847
164.2825	-3.744448
163.2511	-3.825955
162.2448	-3.904567
161.2343	-3.984955
160.231	-4.05654
159.2346	-4.124328
158.2356	-4.193666
157.2592	-4.261478
156.262	-4.33188
155.2921	-4.403186
154.2988	-4.473831
153.2771	-4.54284
152.3065	-4.608873
151.2888	-4.675902
150.2836	-4.74052
149.3013	-4.800373
148.2853	-4.861539
147.2919	-4.917972
146.285	-4.972345
145.28	-5.030268
144.258	-5.087181
143.2534	-5.144141
142.2442	-5.197884
141.2412	-5.24739
140.2548	-5.293248
139.2594	-5.33686
138.2616	-5.383144
137.2445	-5.430142
136.2463	-5.474687
135.243	-5.519013
134.2252	-5.560698
133.2381	-5.597565
132.2202	-5.636819
131.2069	-5.672372
130.2333	-5.704072
129.2378	-5.735717
128.2834	-5.761191
127.2973	-5.784495
126.3198	-5.809407
125.3409	-5.83363
124.3101	-5.859756
123.2932	-5.883676
122.2696	-5.903783
121.2466	-5.924183
120.2588	-5.940646
119.2811	-5.9585
118.2889	-5.975083
117.3027	-5.987339
116.3044	-6.000518
115.2937	-6.01102
114.3034	-6.018621
113.2901	-6.029162
112.2856	-6.035501
111.2901	-6.04048
110.2734	-6.045765
109.2788	-6.044844
108.28	-6.042886
107.2983	-6.040756
106.3191	-6.037126
105.332	-6.033273
104.3365	-6.029178
103.3348	-6.023932
102.3298	-6.017372
101.3201	-6.010296
100.3298	-6.004924
99.33167	-5.995624
98.34142	-5.985482
97.34016	-5.975921
96.3448	-5.96158
95.34048	-5.947368
94.32117	-5.934975
93.32376	-5.922032
92.30399	-5.908135
91.29693	-5.8942
90.28577	-5.877601
89.29909	-5.856685
88.28961	-5.835432
87.28744	-5.814789
86.31109	-5.793661
85.29311	-5.773112
84.29108	-5.755189
83.28754	-5.734562
82.27506	-5.712321
81.26649	-5.69198
80.26903	-5.668478
79.28759	-5.644173
78.30577	-5.619493
77.32635	-5.592349
76.33264	-5.563925
75.32081	-5.537255
74.31042	-5.512507
73.29733	-5.488994
72.29844	-5.465206
71.30502	-5.441352
70.30311	-5.414477
69.31507	-5.383375
68.31579	-5.354455
67.30668	-5.325785
66.30061	-5.297557
65.29501	-5.273679
64.29872	-5.247308
63.30542	-5.219495
62.32153	-5.191986
61.32147	-5.163023
60.30217	-5.134811
59.3105	-5.103889
58.30012	-5.073433
57.32634	-5.042296
56.34062	-5.009763
55.34171	-4.981863
54.32977	-4.955393
53.30843	-4.928388
52.30884	-4.901928
51.30088	-4.872744
50.32927	-4.836679
49.31834	-4.80414
48.32651	-4.774501
47.34024	-4.74799
46.33267	-4.727782
45.34218	-4.704623
44.33294	-4.678967
43.33548	-4.652364
42.33547	-4.624653
41.32811	-4.596626
40.32724	-4.568491
39.29038	-4.537436
38.28917	-4.509295
37.30429	-4.480254
36.31493	-4.452513
35.32754	-4.427476
34.31762	-4.399536
33.29314	-4.372367
32.28242	-4.344705
31.2945	-4.314123
30.30115	-4.283791
29.30642	-4.256732
28.29869	-4.229718
27.30795	-4.205601
26.31233	-4.183807
25.32815	-4.155959
24.34098	-4.12895
23.32751	-4.101511
22.32714	-4.073105
21.33365	-4.048193
20.33683	-4.023864
19.33879	-3.99809
18.3595	-3.970191
17.35388	-3.943846
16.37159	-3.916986
15.37359	-3.890539
14.35055	-3.867247
13.37071	-3.842067
12.37945	-3.815681
11.38785	-3.793953
10.40224	-3.770144
9.378507	-3.748964
8.36144	-3.729271
7.347597	-3.706956
6.350821	-3.68431
5.375199	-3.658609
4.388527	-3.633744
3.402868	-3.609816
2.422444	-3.58766
1.418738	-3.568769
0.407671	-3.54669
-0.570593	-3.523488
-1.553327	-3.498038
-2.523747	-3.474585
-3.484861	-3.453252
-4.465402	-3.432377
-5.479078	-3.411995
-6.482684	-3.388944
-7.469174	-3.366963
-8.479344	-3.346105
-9.4942	-3.326915
-10.48865	-3.306881
-11.50005	-3.288126
-12.50017	-3.268125
-13.46063	-3.246898
-14.459	-3.229209
-15.48111	-3.210567
-16.48878	-3.191079
-17.50987	-3.172151
-18.53985	-3.151375
-19.53247	-3.12781
-20.52358	-3.107213
-21.54331	-3.086259
-22.52589	-3.063741
-23.51459	-3.038568
-24.51253	-3.014448
-25.49719	-2.99499
-26.48408	-2.978302
-27.48102	-2.968554
-28.49806	-2.956533
-29.48734	-2.942227
-30.51296	-2.927349
-31.50734	-2.91047
-32.47677	-2.893696
-33.4887	-2.876584
-34.47296	-2.858868
