Tension	Intensidad	Tension	Intensidad
mV	uA	mV	uA
Au F127 INTI Calcinado CIclo 5 RU 1mM	Au F127 INTI Calcinado CIclo 5 RU 1mM	Au Control INTI Calcinado Ru 1mM	Au Control INTI Calcinado Ru 1mM
-599.8691	-3.393148	-597.2911	-2.834081
-599.6385	-3.382168	-598.2607	-2.832953
-599.1376	-3.362029	-598.8204	-2.823891
-598.3827	-3.333412	-598.8842	-2.812998
-597.3965	-3.296073	-598.4491	-2.800995
-596.3981	-3.261872	-597.5171	-2.786134
-595.4001	-3.228994	-596.5217	-2.778523
-594.431	-3.197454	-595.5391	-2.771192
-593.4191	-3.167391	-594.5338	-2.763886
-592.3971	-3.137618	-593.5309	-2.757031
-591.4082	-3.109029	-592.5197	-2.749539
-590.403	-3.081387	-591.5266	-2.742971
-589.4017	-3.05416	-590.5298	-2.737011
-588.4361	-3.028883	-589.5342	-2.729785
-587.4548	-3.004335	-588.5602	-2.724026
-586.4437	-2.979753	-587.5668	-2.7188
-585.4738	-2.956471	-586.5742	-2.713745
-584.4708	-2.934028	-585.5934	-2.709739
-583.4669	-2.910323	-584.5781	-2.704352
-582.4921	-2.888659	-583.5766	-2.698301
-581.4742	-2.8666	-582.566	-2.691988
-580.4499	-2.844212	-581.5403	-2.685825
-579.4279	-2.823436	-580.5404	-2.680056
-578.3954	-2.802469	-579.5292	-2.6741
-577.3932	-2.782626	-578.5165	-2.668035
-576.4219	-2.76295	-577.5485	-2.662489
-575.4474	-2.744961	-576.5553	-2.657609
-574.4592	-2.72607	-575.5735	-2.653357
-573.4579	-2.707291	-574.6022	-2.649705
-572.4454	-2.690178	-573.5827	-2.645099
-571.4523	-2.672029	-572.5817	-2.640262
-570.4557	-2.654941	-571.5822	-2.634823
-569.4662	-2.63826	-570.564	-2.628298
-568.465	-2.621181	-569.5723	-2.622841
-567.4131	-2.604549	-568.5575	-2.616693
-566.3948	-2.588007	-567.552	-2.610418
-565.3882	-2.571942	-566.5457	-2.606049
-564.3687	-2.555607	-565.5302	-2.601146
-563.4031	-2.539721	-564.5332	-2.596792
-562.4214	-2.524011	-563.5371	-2.592861
-561.4067	-2.508856	-562.5504	-2.587875
-560.4305	-2.493892	-561.5496	-2.583332
-559.4286	-2.479341	-560.565	-2.578448
-558.4471	-2.466352	-559.5579	-2.572947
-557.46	-2.452524	-558.5734	-2.567834
-556.478	-2.439668	-557.5944	-2.561814
-555.4807	-2.426683	-556.6024	-2.556448
-554.4711	-2.412493	-555.6031	-2.551381
-553.4733	-2.399395	-554.5861	-2.545986
