Tension	Intensidad	Tension	Intensidad	Tension	Intensidad
mv	uA	mV	uA	mV	uA
Au	Control	CNEA	Calcinado	SOlucion	Fe
202.3	-0.748541	202.331	-0.629629	202.3694	-0.315862
201.2877	-0.818186	201.3312	-0.71041	201.3523	-0.323234
200.2838	-0.88622	200.2985	-0.788775	200.3521	-0.332717
199.2939	-0.95743	199.2707	-0.868565	199.3232	-0.342422
198.2878	-1.029263	198.27	-0.949819	198.2957	-0.35168
197.2782	-1.098889	197.2636	-1.025819	197.3004	-0.359463
196.2501	-1.171432	196.2658	-1.107099	196.2855	-0.366584
195.2388	-1.241869	195.2543	-1.189621	195.2713	-0.372923
194.2342	-1.310113	194.238	-1.269853	194.274	-0.379276
193.2472	-1.382234	193.2204	-1.355743	193.2586	-0.387366
192.2597	-1.453522	192.223	-1.437948	192.2599	-0.392658
191.291	-1.527412	191.2514	-1.516103	191.2651	-0.399444
190.2954	-1.603227	190.2531	-1.598447	190.2562	-0.406803
189.2904	-1.678697	189.2508	-1.683074	189.2688	-0.411817
188.2924	-1.757077	188.2615	-1.767564	188.2793	-0.419065
187.2587	-1.834795	187.252	-1.856299	187.2816	-0.424239
186.2419	-1.91247	186.2526	-1.93723	186.2723	-0.431293
185.2384	-1.988304	185.2535	-2.016884	185.2605	-0.439385
184.2416	-2.060193	184.254	-2.100747	184.223	-0.444183
183.2295	-2.132269	183.2679	-2.184114	183.1981	-0.450496
182.2622	-2.203917	182.2677	-2.27423	182.204	-0.456804
181.2927	-2.273768	181.2867	-2.359335	181.2184	-0.463337
180.2796	-2.347667	180.2653	-2.444324	180.2424	-0.473272
179.305	-2.42156	179.2639	-2.525785	179.2674	-0.482784
178.309	-2.494616	178.2726	-2.602256	178.3034	-0.489707
177.2942	-2.571589	177.2937	-2.685484	177.3106	-0.498094
176.2957	-2.644951	176.3238	-2.766021	176.2976	-0.505915
175.2843	-2.719432	175.3206	-2.849971	175.2845	-0.513252
174.253	-2.795175	174.3158	-2.939399	174.2533	-0.520605
173.2427	-2.867751	173.2872	-3.025283	173.2391	-0.527428
172.2564	-2.941188	172.2644	-3.110726	172.2494	-0.533786
171.2491	-3.013093	171.2542	-3.194527	171.2637	-0.5396
170.2742	-3.084985	170.2581	-3.276218	170.2656	-0.546183
169.2821	-3.157892	169.2369	-3.356406	169.2648	-0.552129
168.2832	-3.229493	168.254	-3.432428	168.2812	-0.557096
167.2838	-3.302328	167.2731	-3.509704	167.2703	-0.564689
166.2569	-3.371974	166.273	-3.586147	166.2633	-0.571135
165.2544	-3.440084	165.2966	-3.661847	165.2675	-0.575743
164.2328	-3.51118	164.2825	-3.744448	164.2343	-0.582261
163.2472	-3.578025	163.2511	-3.825955	163.2331	-0.587581
162.2625	-3.643414	162.2448	-3.904567	162.2359	-0.594913
161.2604	-3.710527	161.2343	-3.984955	161.2161	-0.604372
160.283	-3.772787	160.231	-4.05654	160.2238	-0.611683
