Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad
mv	uA	mV	uA	mV	uA	mV	uA	mv	uA	mV	uA
Au Control CNEA Calcinado SOlucion Fe 1mM	Au Control CNEA Calcinado SOlucion Fe 1mM	Au Control INTI As Sputter Fe 1mM	Au Control INTI As Sputter Fe 1mM	Au Control INTI Calcinado Fe 1mM	Au Control INTI Calcinado Fe 1mM	Au Control INTI Calcinado Ru 1mM	Au Control INTI Calcinado Ru 1mM	Au Control CNEA Calcinado Ru amino 1mM	Au Control CNEA Calcinado Ru amino 1mM	Au Control INTI As Sputter Ru 1mM	Au Control INTI As Sputter Ru 1mM
202.3	-0.748541	202.331	-0.629629	202.3694	-0.315862	-597.2911	-2.834081	-597.2971	-4.90287	-597.2919	-6.15823
201.2877	-0.818186	201.3312	-0.71041	201.3523	-0.323234	-598.2607	-2.832953	-598.2874	-4.901385	-598.2984	-6.177761
200.2838	-0.88622	200.2985	-0.788775	200.3521	-0.332717	-598.8204	-2.823891	-598.8395	-4.856053	-598.8604	-6.170081
199.2939	-0.95743	199.2707	-0.868565	199.3232	-0.342422	-598.8842	-2.812998	-598.8868	-4.797407	-598.908	-6.146439
198.2878	-1.029263	198.27	-0.949819	198.2957	-0.35168	-598.4491	-2.800995	-598.4458	-4.728942	-598.4787	-6.109101
197.2782	-1.098889	197.2636	-1.025819	197.3004	-0.359463	-597.5171	-2.786134	-597.4962	-4.652197	-597.5128	-6.059859
196.2501	-1.171432	196.2658	-1.107099	196.2855	-0.366584	-596.5217	-2.778523	-596.5059	-4.612651	-596.5086	-6.031597
195.2388	-1.241869	195.2543	-1.189621	195.2713	-0.372923	-595.5391	-2.771192	-595.5083	-4.57651	-595.5121	-6.006015
194.2342	-1.310113	194.238	-1.269853	194.274	-0.379276	-594.5338	-2.763886	-594.5087	-4.543381	-594.5042	-5.977872
193.2472	-1.382234	193.2204	-1.355743	193.2586	-0.387366	-593.5309	-2.757031	-593.5148	-4.514016	-593.5327	-5.949181
192.2597	-1.453522	192.223	-1.437948	192.2599	-0.392658	-592.5197	-2.749539	-592.5109	-4.485225	-592.5427	-5.916556
191.291	-1.527412	191.2514	-1.516103	191.2651	-0.399444	-591.5266	-2.742971	-591.5302	-4.461059	-591.5536	-5.886283
190.2954	-1.603227	190.2531	-1.598447	190.2562	-0.406803	-590.5298	-2.737011	-590.542	-4.436965	-590.5729	-5.858231
189.2904	-1.678697	189.2508	-1.683074	189.2688	-0.411817	-589.5342	-2.729785	-589.5479	-4.411227	-589.5625	-5.828631
188.2924	-1.757077	188.2615	-1.767564	188.2793	-0.419065	-588.5602	-2.724026	-588.5684	-4.38798	-588.5457	-5.800563
187.2587	-1.834795	187.252	-1.856299	187.2816	-0.424239	-587.5668	-2.7188	-587.5547	-4.362935	-587.5236	-5.770782
186.2419	-1.91247	186.2526	-1.93723	186.2723	-0.431293	-586.5742	-2.713745	-586.5497	-4.33927	-586.5121	-5.739894
185.2384	-1.988304	185.2535	-2.016884	185.2605	-0.439385	-585.5934	-2.709739	-585.5659	-4.318719	-585.5195	-5.710234
184.2416	-2.060193	184.254	-2.100747	184.223	-0.444183	-584.5781	-2.704352	-584.5425	-4.296363	-584.5205	-5.68161
