Funcionalizado APTES 1mM	Funcionalizado APTES 1mM
mV	uA
Segndos 45	Segndos 45
-599.754	-1.049255
-599.516	-1.042204
-599.0316	-1.033263
-598.2844	-1.022675
-597.314	-1.011618
-596.3227	-1.006931
-595.334	-1.00342
-594.3383	-1.000531
-593.3186	-0.9964985
-592.3185	-0.9912383
-591.3062	-0.9858757
-590.3048	-0.9811855
-589.316	-0.9764595
-588.3061	-0.9733425
-587.3074	-0.9690489
-586.3119	-0.9637187
-585.316	-0.9605867
-584.3494	-0.95719
-583.3605	-0.9556385
-582.3809	-0.9541134
-581.3488	-0.9503217
-580.3348	-0.9467203
-579.3197	-0.9413754
-578.307	-0.9373057
-577.3126	-0.9337302
-576.303	-0.9305515
-575.3038	-0.9275972
-574.3254	-0.9231876
-573.3323	-0.9195774
-572.3458	-0.915931
-571.3486	-0.913691
-570.3196	-0.9118028
-569.3383	-0.909539
-568.3108	-0.9064007
-567.3026	-0.9025987
-566.2961	-0.8999979
-565.2716	-0.8964663
-564.3005	-0.8941308
-563.304	-0.8908662
-562.3253	-0.8861709
-561.3251	-0.8827581
-560.3205	-0.8789197
-559.3224	-0.8761755
-558.3226	-0.8740475
-557.3364	-0.8712808
-556.3252	-0.8687153
-555.3312	-0.8659057
-554.3121	-0.8632303
-553.3218	-0.8606591
-552.3293	-0.8570942
-551.3312	-0.853847
-550.3511	-0.8499637
-549.3524	-0.8454082
-548.3587	-0.8429478
-547.3603	-0.8402061
-546.3663	-0.8376166
-545.3331	-0.8359743
-544.3367	-0.8329012
-543.3418	-0.8302068
-542.3406	-0.8271627
-541.3546	-0.822755
-540.3441	-0.8186482
-539.3372	-0.8143538
-538.3397	-0.8108805
-537.353	-0.8097982
-536.3547	-0.8071761
-535.3806	-0.8036777
-534.3828	-0.8017311
-533.3987	-0.7980223
-532.4024	-0.7952443
-531.3685	-0.7926506
-530.3578	-0.788375
-529.3416	-0.7851285
-528.3204	-0.780197
-527.347	-0.7779068
-526.3456	-0.7751832
-525.3472	-0.7706525
-524.3696	-0.7674704
-523.3691	-0.7634336
-522.3638	-0.7600838
-521.3586	-0.7588924
-520.3591	-0.7581599
-519.3524	-0.7548415
-518.3519	-0.752804
-517.3412	-0.7485184
-516.3247	-0.7451367
-515.2873	-0.7426276
-514.2869	-0.7389976
-513.294	-0.7369629
-512.3054	-0.7328961
-511.3335	-0.7298085
-510.3444	-0.7268297
-509.3298	-0.7237839
-508.3176	-0.7226095
-507.3216	-0.7205899
-506.3303	-0.7179563
-505.3724	-0.7151028
-504.4071	-0.711603
-503.4001	-0.7079915
-502.3769	-0.7042868
-501.3322	-0.7008451
-500.2961	-0.697768
-499.2864	-0.6943747
-498.2757	-0.6914955
-497.3075	-0.6886096
-496.3073	-0.6857351
-495.3089	-0.6836618
-494.3342	-0.6817988
-493.3232	-0.6796503
-492.334	-0.6772314
-491.351	-0.674297
-490.3437	-0.6707217
-489.3574	-0.6677547
-488.346	-0.6641791
-487.3564	-0.6612484
-486.3618	-0.6568449
-485.3503	-0.6531826
-484.3654	-0.6509145
-483.3448	-0.6486895
-482.3317	-0.648233
-481.343	-0.6466672
-480.3554	-0.6435634
-479.3804	-0.6403493
-478.3985	-0.6365297
-477.3669	-0.6330671
-476.3431	-0.6308812
-475.3335	-0.628505
-474.328	-0.6251593
-473.384	-0.6215668
-472.3992	-0.6183171
-471.4011	-0.6160102
-470.4141	-0.6152818
-469.3741	-0.6139712
-468.3769	-0.6116297
-467.3574	-0.6086591
-466.3352	-0.6052666
-465.3305	-0.6025269
-464.2965	-0.599487
-463.3072	-0.5970092
-462.3078	-0.5941681
-461.3218	-0.5913484
-460.3423	-0.5901899
-459.334	-0.588487
-458.3385	-0.5865821
-457.3221	-0.5849038
-456.3218	-0.5816886
-455.3428	-0.5785604
-454.344	-0.5762181
-453.3465	-0.5731407
-452.3404	-0.5702379
-451.315	-0.5664848
-450.3222	-0.5635912
-449.3417	-0.5603486
-448.3524	-0.5570651
-447.3851	-0.5548506
-446.3986	-0.5518118
-445.369	-0.5493193
-444.3894	-0.5473214
-443.3763	-0.5445555
-442.3482	-0.5409976
-441.3804	-0.5377389
-440.3525	-0.5339331
-439.3393	-0.5298308
-438.3225	-0.5268443
-437.3087	-0.5235371
-436.2989	-0.5187501
-435.3012	-0.5151113
-434.3205	-0.5121709
-433.3257	-0.5096858
-432.3361	-0.5084489
-431.3374	-0.5062979
-430.3663	-0.5030272
-429.3793	-0.4987732
-428.3731	-0.4950487
-427.3795	-0.491171
-426.3478	-0.4868295
-425.3253	-0.4833516
-424.3354	-0.4784631
-423.3041	-0.4729387
-422.314	-0.4697149
-421.3016	-0.4656214
-420.3017	-0.4631567
-419.3164	-0.4603471
-418.325	-0.4560629
-417.3526	-0.4516429
-416.3456	-0.4467599
-415.3397	-0.4424772
-414.3269	-0.4376348
-413.3069	-0.4324361
-412.292	-0.4273115
-411.2957	-0.4222965
-410.2851	-0.4172873
-409.2711	-0.4133079
-408.2868	-0.4086601
-407.2856	-0.4041767
-406.2996	-0.3998732
-405.3276	-0.3946766
-404.3405	-0.3889812
-403.3617	-0.3837326
-402.3813	-0.3778469
-401.3758	-0.3713043
-400.3529	-0.3651416
-399.3398	-0.3590647
-398.3166	-0.3521104
-397.3118	-0.3462896
-396.3316	-0.3407938
-395.3482	-0.3341019
-394.3611	-0.3283111
-393.3651	-0.3219452
-392.3696	-0.3145552
-391.3855	-0.306255
-390.3796	-0.2986194
-389.3849	-0.2902108
-388.3698	-0.2824767
-387.3405	-0.2749107
-386.3442	-0.2658797
-385.327	-0.2576593
-384.3731	-0.2493394
-383.3996	-0.2427086
-382.4063	-0.2356961
-381.4177	-0.2285835
-380.3835	-0.2192993
-379.3738	-0.2086207
-378.3636	-0.1984092
-377.3641	-0.1884626
-376.3676	-0.1797424
-375.3744	-0.171297
-374.3629	-0.161618
-373.3716	-0.1509009
-372.3677	-0.1412614
-371.3419	-0.1303077
-370.3615	-0.1221005
-369.3791	-0.111903
-368.3696	-0.1001831
-367.4022	-0.08921972
-366.4095	-0.07448091
-365.3956	-0.06259256
-364.4108	-0.05107426
-363.3781	-0.0382925
-362.339	-0.02718078
-361.3222	-0.01333466
-360.3184	-4.049269E-4
-359.3187	0.01206853
-358.3566	0.02313567
-357.3704	0.03516837
