Funcionalizado DHDP 3mM	Funcionalizado DHDP 3mM
mV	uA
Primeros 45	Primeros 45
-599.7782	-9.063121
-599.5588	-9.046047
-599.0646	-9.022676
-598.314	-8.991716
-597.3208	-8.951041
-596.3042	-8.920886
-595.3229	-8.889688
-594.3364	-8.858502
-593.3553	-8.830439
-592.336	-8.80158
-591.3253	-8.772456
-590.3329	-8.74556
-589.3221	-8.717783
-588.347	-8.69075
-587.3623	-8.663825
-586.3538	-8.637259
-585.3515	-8.611338
-584.3557	-8.586615
-583.3452	-8.563368
-582.3578	-8.537127
-581.3444	-8.511945
-580.3434	-8.485863
-579.3314	-8.458508
-578.3344	-8.434168
-577.3459	-8.409775
-576.3437	-8.384822
-575.3611	-8.35989
-574.3662	-8.335166
-573.3701	-8.309723
-572.3738	-8.286879
-571.3618	-8.264879
-570.3507	-8.24046
-569.3421	-8.21805
-568.3268	-8.193467
-567.3251	-8.168987
-566.3047	-8.146811
-565.3076	-8.123435
-564.3146	-8.100057
-563.3259	-8.077398
-562.3503	-8.053817
-561.3636	-8.030848
-560.3674	-8.009195
-559.3659	-7.98867
-558.3596	-7.96807
-557.3478	-7.947137
-556.3691	-7.926111
-555.3739	-7.903732
-554.3851	-7.882416
-553.3959	-7.860968
-552.3671	-7.839259
-551.3613	-7.818487
-550.3586	-7.797065
-549.3616	-7.775866
-548.3887	-7.755899
-547.3831	-7.735559
-546.371	-7.715724
-545.3794	-7.695848
-544.3737	-7.674701
-543.3885	-7.654655
-542.3931	-7.633436
-541.356	-7.611523
-540.3387	-7.591315
-539.3257	-7.570188
-538.3188	-7.549834
-537.3483	-7.530687
-536.3719	-7.511019
-535.3906	-7.491754
-534.4294	-7.472731
-533.4249	-7.453717
-532.4073	-7.434133
-531.3918	-7.413773
-530.3617	-7.393943
-529.3555	-7.373606
-528.3479	-7.353364
-527.3262	-7.334889
-526.3214	-7.315251
-525.3185	-7.295192
-524.3345	-7.276237
-523.3665	-7.256739
-522.3741	-7.238393
-521.3859	-7.221638
-520.3875	-7.204274
-519.3726	-7.185624
-518.3628	-7.167006
-517.3602	-7.147473
-516.3229	-7.128479
-515.3116	-7.109096
-514.3164	-7.090304
-513.2891	-7.071507
-512.2903	-7.052066
-511.2959	-7.035016
-510.2828	-7.017329
-509.2802	-6.999645
-508.2983	-6.98305
-507.313	-6.964893
-506.3339	-6.947522
-505.3413	-6.930305
-504.3408	-6.912765
-503.3498	-6.895175
-502.323	-6.876412
-501.3269	-6.859127
-500.3166	-6.839997
-499.3001	-6.823157
-498.3217	-6.806633
-497.3215	-6.789417
