Sin Funcionlizar	Sin Funcionlizar
mV	uA
Primeros 45	Primeros 45
-599.8008	-1.910759
-599.5424	-1.900587
-599.0375	-1.887674
-598.2907	-1.871388
-597.2813	-1.852649
-596.2986	-1.843477
-595.3188	-1.834256
-594.3132	-1.825281
-593.3216	-1.815441
-592.3031	-1.804361
-591.2762	-1.794185
-590.2888	-1.784491
-589.2806	-1.774139
-588.2956	-1.763857
-587.3231	-1.752951
-586.3034	-1.743027
-585.3107	-1.735418
-584.3049	-1.729579
-583.2966	-1.724749
-582.3128	-1.71834
-581.3201	-1.708649
-580.3418	-1.689174
-579.3273	-1.666168
-578.3311	-1.652255
-577.3155	-1.647125
-576.3069	-1.650478
-575.3187	-1.656897
-574.3232	-1.656115
-573.3231	-1.648484
-572.3298	-1.641704
-571.3215	-1.633955
-570.3048	-1.62663
-569.2988	-1.620168
-568.2724	-1.613174
-567.2593	-1.60471
-566.2616	-1.597509
-565.2597	-1.58907
-564.2708	-1.577806
-563.2947	-1.567976
-562.294	-1.555547
-561.3326	-1.543805
-560.334	-1.530481
-559.3195	-1.520052
-558.3113	-1.512516
-557.2827	-1.506517
-556.2954	-1.506827
-555.3116	-1.505334
-554.3203	-1.500671
-553.3186	-1.494757
-552.2993	-1.485553
-551.313	-1.471452
-550.3245	-1.458031
-549.3375	-1.45192
-548.3365	-1.44752
-547.3075	-1.448136
-546.2997	-1.451019
-545.2889	-1.446301
-544.2965	-1.440111
-543.3041	-1.433283
-542.2868	-1.424305
-541.269	-1.415445
-540.2615	-1.407526
-539.2623	-1.401164
-538.2978	-1.393855
-537.3391	-1.386259
-536.3473	-1.37557
-535.3615	-1.365113
-534.343	-1.355735
-533.3224	-1.34441
-532.3328	-1.333669
-531.3297	-1.322922
-530.3354	-1.31394
-529.3491	-1.308121
-528.3201	-1.308611
-527.3224	-1.306996
-526.3385	-1.304626
-525.3353	-1.302834
-524.3398	-1.290122
-523.3239	-1.273214
-522.2845	-1.260718
-521.2791	-1.250893
-520.3037	-1.249733
-519.3098	-1.255468
-518.3168	-1.256206
-517.3077	-1.25256
-516.2673	-1.247699
-515.2444	-1.239919
-514.248	-1.233465
-513.2538	-1.228134
-512.2753	-1.222301
-511.3007	-1.216352
-510.3104	-1.208041
-509.2949	-1.198545
-508.281	-1.190394
-507.2851	-1.181518
-506.2742	-1.171389
-505.2905	-1.16154
-504.3143	-1.14897
-503.3008	-1.139548
-502.3034	-1.134547
-501.2997	-1.13308
-500.2906	-1.135566
-499.2953	-1.134735
-498.3108	-1.132058
-497.306	-1.127807
