E	0s
V	j / ma * cm^2
-0.499625	-0.5311
-0.499412	-0.528743333333333
-0.498948	-0.525286666666667
-0.498226	-0.521196666666667
-0.497265	-0.516416666666667
-0.496256	-0.513313333333333
-0.495248	-0.510876666666667
-0.494241	-0.508556666666667
-0.493233	-0.506163333333333
-0.492236	-0.50422
-0.491237	-0.50213
-0.490245	-0.499943333333333
-0.489241	-0.49811
-0.488251	-0.496093333333333
-0.48725	-0.494133333333333
-0.486256	-0.49232
-0.485256	-0.49036
-0.484263	-0.488496666666667
-0.483269	-0.486636666666667
-0.482268	-0.484813333333333
-0.481283	-0.483133333333333
-0.480275	-0.481293333333333
-0.479282	-0.479533333333333
-0.478289	-0.477826666666667
-0.47726	-0.475933333333333
-0.476257	-0.474353333333333
-0.475253	-0.472843333333333
-0.474259	-0.47127
-0.473276	-0.469926666666667
-0.472269	-0.46842
-0.471272	-0.46687
-0.470282	-0.465423333333333
-0.469291	-0.463893333333333
-0.468297	-0.462393333333333
-0.467294	-0.460886666666667
-0.466261	-0.45928
-0.465265	-0.457693333333333
-0.464253	-0.456136666666667
-0.463234	-0.454713333333333
-0.462243	-0.45339
-0.461226	-0.45208
-0.460247	-0.450853333333333
-0.459252	-0.449423333333333
-0.458263	-0.447986666666667
-0.457276	-0.446633333333333
-0.456262	-0.445143333333333
-0.455269	-0.443786666666667
-0.454282	-0.442466666666667
-0.453283	-0.441103333333333
-0.452296	-0.43981
-0.451309	-0.438516666666667
-0.450287	-0.43729
-0.449283	-0.436046666666667
-0.448288	-0.434813333333333
-0.447301	-0.43364
-0.44631	-0.432306666666667
-0.445304	-0.430966666666667
-0.444311	-0.429836666666667
-0.443304	-0.428576666666667
-0.442294	-0.42744
-0.441315	-0.426453333333333
-0.44031	-0.42521
-0.439291	-0.42399
-0.438298	-0.422836666666667
-0.437305	-0.42158
-0.436302	-0.42047
-0.435305	-0.41941
-0.434304	-0.418343333333333
-0.433269	-0.417263333333333
-0.432263	-0.416076666666667
-0.431265	-0.415106666666667
-0.430281	-0.414023333333333
-0.429282	-0.41284
-0.428283	-0.41188
-0.427293	-0.410623333333333
-0.426283	-0.409383333333333
-0.425312	-0.408356666666667
-0.424316	-0.407183333333333
-0.423291	-0.406093333333333
-0.422322	-0.40516
-0.421296	-0.404203333333333
-0.420298	-0.403276666666667
-0.419317	-0.402353333333333
-0.418286	-0.40146
-0.417305	-0.40052
-0.416302	-0.39951
-0.415289	-0.39863
-0.414283	-0.39765
-0.41326	-0.396553333333333
-0.412242	-0.39574
-0.411246	-0.394843333333333
-0.410231	-0.3939
-0.409256	-0.393183333333333
-0.408285	-0.39226
-0.40729	-0.391256666666667
-0.406306	-0.390416666666667
-0.405297	-0.389456666666667
-0.404281	-0.388543333333333
-0.4033	-0.38768
-0.402302	-0.38668
-0.401304	-0.38566
-0.400316	-0.38461
-0.39931	-0.383673333333333
-0.398305	-0.382823333333333
-0.3973	-0.38189
-0.396299	-0.38117
-0.395311	-0.38032
-0.394322	-0.379436666666667
-0.393333	-0.378783333333333
-0.392341	-0.377986666666667
-0.391322	-0.37712
-0.390304	-0.376376666666667
-0.389288	-0.3755
-0.388281	-0.37457
-0.387269	-0.373746666666667
-0.386289	-0.37302
-0.385308	-0.37235
-0.384312	-0.37166
-0.383335	-0.371083333333333
-0.382348	-0.370243333333333
-0.381329	-0.36924
-0.380335	-0.36851
-0.379337	-0.367653333333333
-0.378328	-0.36683
-0.377341	-0.366273333333333
-0.376334	-0.365473333333333
-0.375326	-0.36466
-0.374324	-0.363916666666667
-0.373329	-0.36313
-0.372343	-0.3624
-0.37136	-0.361643333333333
-0.370371	-0.36091
-0.369383	-0.360166666666667
-0.368369	-0.359296666666667
-0.367357	-0.358653333333333
-0.366358	-0.358013333333333
-0.365334	-0.357173333333333
-0.364334	-0.356546666666667
-0.363347	-0.35571
-0.362336	-0.35477
-0.361346	-0.354096666666667
-0.360347	-0.353393333333333
-0.35931	-0.352803333333333
-0.358314	-0.352336666666667
-0.357317	-0.351746666666667
-0.356337	-0.351196666666667
-0.355363	-0.35055
-0.354381	-0.349886666666667
-0.353403	-0.349253333333333
-0.352377	-0.34844
-0.351377	-0.3477
-0.35037	-0.34687
-0.349341	-0.346013333333333
-0.348332	-0.345423333333333
-0.347323	-0.34485
-0.346314	-0.344386666666667
-0.345349	-0.344023333333333
-0.344368	-0.34339
-0.343389	-0.34274
-0.342414	-0.342053333333333
-0.341385	-0.341246666666667
-0.340384	-0.34061
-0.339365	-0.339973333333333
-0.338347	-0.339323333333333
-0.337358	-0.338776666666667
-0.336349	-0.338126666666667
-0.335386	-0.3376
-0.334384	-0.337076666666667
-0.333379	-0.336413333333333
-0.33241	-0.33591
-0.331389	-0.335143333333333
-0.330385	-0.334376666666667
-0.329377	-0.333863333333333
-0.328378	-0.333143333333333
-0.327376	-0.332583333333333
-0.326391	-0.332143333333333
-0.325411	-0.331436666666667
-0.324409	-0.330843333333333
-0.323401	-0.330213333333333
-0.322392	-0.3296
-0.321373	-0.329066666666667
-0.320349	-0.32851
-0.319341	-0.328073333333333
-0.31835	-0.3275
-0.317343	-0.32688
-0.316358	-0.32648
-0.315387	-0.325893333333333
-0.314372	-0.32524
-0.313383	-0.32477
-0.312381	-0.324013333333333
-0.311338	-0.323273333333333
-0.310317	-0.322696666666667
-0.309308	-0.322116666666667
-0.308303	-0.321583333333333
-0.307323	-0.321156666666667
-0.306355	-0.32076
-0.305383	-0.32024
-0.304394	-0.319683333333333
-0.303415	-0.319206666666667
-0.302406	-0.318613333333333
-0.301405	-0.317943333333333
-0.300398	-0.317506666666667
-0.299383	-0.316916666666667
-0.298399	-0.316306666666667
-0.29738	-0.315916666666667
-0.296372	-0.315406666666667
-0.295369	-0.314926666666667
-0.294379	-0.314483333333333
-0.293389	-0.313943333333333
-0.292419	-0.313303333333333
-0.291413	-0.312643333333333
-0.290393	-0.312076666666667
-0.289403	-0.31155
-0.28836	-0.31103
-0.28737	-0.310613333333333
-0.286373	-0.310103333333333
-0.285362	-0.309473333333333
-0.284379	-0.309066666666667
-0.2834	-0.308606666666667
-0.282401	-0.30808
-0.281413	-0.307693333333333
-0.280423	-0.3071
-0.279416	-0.306513333333333
-0.278428	-0.30601
-0.277438	-0.305503333333333
-0.27644	-0.305066666666667
-0.275427	-0.304586666666667
-0.274415	-0.304083333333333
-0.273398	-0.30356
-0.272386	-0.302833333333333
-0.271401	-0.3023
-0.270412	-0.301816666666667
-0.269409	-0.30126
-0.268445	-0.301056666666667
-0.267455	-0.300706666666667
-0.266434	-0.30018
-0.265443	-0.29982
-0.264435	-0.299216666666667
-0.263428	-0.298613333333333
-0.262457	-0.298196666666667
-0.261448	-0.29759
-0.260416	-0.297076666666667
-0.259393	-0.2966
-0.258385	-0.29613
-0.257389	-0.295796666666667
-0.256403	-0.29538
-0.255423	-0.295016666666667
-0.254447	-0.29451
-0.253442	-0.293903333333333
-0.252453	-0.293446666666667
-0.25146	-0.292923333333333
-0.250427	-0.29242
-0.249426	-0.292073333333333
-0.248419	-0.291526666666667
-0.247415	-0.291043333333333
-0.246428	-0.290576666666667
-0.245439	-0.290083333333333
-0.244433	-0.289703333333333
-0.243438	-0.289216666666667
-0.242443	-0.288796666666667
-0.241429	-0.288246666666667
-0.240422	-0.287646666666667
-0.239409	-0.287216666666667
-0.238391	-0.286776666666667
-0.237391	-0.286293333333333
-0.236414	-0.286023333333333
-0.235415	-0.285546666666667
-0.234424	-0.285
-0.233446	-0.284716666666667
-0.232438	-0.284196666666667
-0.23143	-0.283723333333333
-0.230437	-0.2834
-0.229426	-0.282903333333333
-0.228429	-0.282456666666667
-0.227429	-0.282053333333333
-0.22643	-0.281666666666667
-0.225436	-0.281253333333333
-0.224433	-0.280783333333333
-0.22346	-0.280393333333333
-0.222466	-0.279896666666667
-0.221448	-0.279236666666667
-0.220438	-0.278893333333333
-0.219408	-0.27848
-0.218378	-0.277983333333333
-0.217387	-0.277823333333333
-0.21642	-0.277413333333333
-0.215435	-0.276916666666667
-0.214452	-0.276546666666667
-0.213449	-0.27604
-0.212434	-0.27555
-0.211422	-0.27509
-0.210402	-0.274616666666667
-0.209401	-0.274206666666667
-0.20838	-0.27368
-0.207367	-0.2734
-0.206374	-0.273183333333333
-0.205371	-0.27277
-0.204376	-0.27257
-0.203407	-0.27216
-0.202422	-0.271533333333333
-0.201425	-0.271136666666667
-0.200437	-0.27066
-0.199434	-0.270183333333333
-0.198428	-0.26991
-0.197435	-0.2695
-0.19644	-0.269113333333333
-0.195414	-0.268733333333333
-0.19443	-0.268316666666667
-0.193444	-0.268006666666667
-0.192454	-0.26757
-0.191478	-0.267146666666667
-0.190462	-0.266696666666667
-0.18944	-0.26617
-0.188418	-0.265843333333333
-0.187434	-0.265503333333333
-0.186449	-0.265173333333333
