Funcionalizado APTES 1mM	Funcionalizado APTES 1mM
mv	uA
Primeros 45	Primeros 45
-100.1046	-0.01349412
-99.89463	-0.007612404
-99.40362	-4.76E-04
-98.67293	0.00752154
-97.69792	0.0167904
-96.70084	0.02000302
-95.71886	0.02307765
-94.70863	0.02547875
-93.69983	0.02726312
-92.67679	0.02920974
-91.66738	0.03078409
-90.67666	0.03246156
-89.67713	0.03364835
-88.6801	0.03534544
-87.67831	0.03653597
-86.67599	0.03695264
-85.68197	0.0378617
-84.68685	0.03836771
-83.6842	0.03899977
-82.69379	0.04043461
-81.69933	0.04165346
-80.68959	0.04316282
-79.69235	0.04439393
-78.68574	0.04528898
-77.66563	0.04642788
-76.69061	0.0464711
-75.71286	0.04695544
-74.72791	0.04756947
-73.74683	0.04763149
-72.7394	0.04846479
-71.72781	0.04914056
-70.73335	0.05018725
-69.72659	0.05159153
-68.70866	0.05262522
-67.69588	0.05368379
-66.68998	0.05386006
-65.69171	0.05459509
-64.70917	0.05538064
-63.73182	0.05548842
-62.72265	0.05601942
-61.69122	0.05600115
-60.68708	0.05579641
-59.66224	0.05639219
-58.65794	0.05754359
-57.6692	0.05816273
-56.6395	0.05937719
-55.63786	0.06001138
-54.63524	0.06024799
-53.63918	0.06129216
-52.66751	0.06149017
-51.68504	0.06202766
-50.69693	0.06170171
-49.70641	0.06110648
-48.68629	0.06152517
-47.69302	0.0617813
-46.68376	0.06290289
-45.69792	0.0639226
-44.71574	0.06414689
-43.70277	0.0647147
-42.68951	0.06540117
-41.67831	0.06607074
-40.68275	0.06679717
-39.67839	0.0673374
-38.70237	0.06697934
-37.70124	0.0672374
-36.69141	0.06707887
-35.69872	0.06716231
-34.68421	0.06789579
-33.70202	0.06788756
-32.71603	0.06884973
-31.72404	0.06935422
-30.73635	0.07032579
-29.71686	0.07195583
-28.70531	0.07228273
-27.69028	0.07296717
-26.67636	0.073007
-25.69114	0.07233629
-24.69765	0.07265353
-23.71288	0.07292802
-22.73744	0.07297062
-21.72271	0.07327979
-20.72353	0.07393385
-19.72364	0.07460016
-18.704	0.07549464
-17.70394	0.076589
-16.6751	0.07743084
-15.65599	0.07802255
-14.64228	0.07874522
-13.63246	0.07917306
-12.66419	0.0784377
-11.68551	0.07828873
-10.69091	0.07867303
-9.703984	0.07880661
-8.685688	0.08011939
-7.675551	0.08100746
-6.692718	0.08122452
-5.668639	0.08166873
-4.662357	0.08219103
-3.672494	0.08180254
-2.681551	0.08228828
-1.743187	0.0825608
-0.76474	0.0823262
0.2136732	0.08295333
1.200961	0.08296004
