P_ads	n_ads	esp_ads	V_ads	P_des	n_des	esp_des	V_des
0.001575	1.2188	338.36	0.383717305	0.896721	1.3619	337.211	40.80245392
0.001565	1.221	338.712	1.032428019	0.859912	1.3616	336.84	40.72157983
0.028529	1.2261	339.643	2.533072705	0.818241	1.3611	336.464	40.58675308
0.090164	1.2298	340.473	3.61898185	0.775735	1.3606	335.993	40.45188058
0.146344	1.2336	340.973	4.731785953	0.734487	1.3597	335.616	40.20899483
0.19906	1.2367	341.589	5.63775289	0.694714	1.3589	335.209	39.99297198
0.24644	1.2396	342.202	6.483764123	0.65578	1.3583	334.708	39.83087802
0.288309	1.243	342.646	7.473780752	0.619048	1.3573	334.274	39.5605751
0.328085	1.2469	343.084	8.606911543	0.582238	1.3561	333.949	39.23597024
0.366046	1.252	343.514	10.08469349	0.543938	1.3553	333.261	39.01942073
0.402914	1.2646	343.799	13.71613211	0.506	1.3544	332.589	38.77566272
0.441386	1.3106	337.044	26.7344875	0.467933	1.3523	332.224	38.20631837
0.477488	1.3477	333.054	36.9563686	0.427783	1.3451	332.528	36.24816686
0.514515	1.3542	332.616	38.72147416	0.390028	1.3218	335.169	29.84665608
0.55008	1.3554	333.107	39.04649582	0.348128	1.267	343.754	14.404665
0.58501	1.3564	333.524	39.31714613	0.309496	1.2452	342.665	8.113308507
0.621147	1.3571	334.097	39.50649257	0.26777	1.2416	342.296	7.066370096
0.656161	1.3582	334.432	39.80385595	0.228672	1.2384	341.895	6.133867317
0.69709	1.3591	334.823	40.04698867	0.185396	1.2354	341.395	5.258033615
0.734861	1.3597	335.317	40.20899483	0.140456	1.2324	340.905	4.380643226
0.770901	1.3605	335.729	40.4249006	0.094465	1.2294	340.235	3.501699794
0.814663	1.361	336.214	40.55978224	0.043503	1.2253	339.805	2.297972266
0.8561	1.3614	336.758	40.66765462	0.001603	1.2209	338.745	1.002959105
0.896802	1.3622	337.023	40.88331153	0.001598	1.2175	338.449	0
0.896721	1.3619	337.211	40.80245392	0.001562	1.2175	338.29	0
