r_ads	pob_ads	r_des	pob_des
77.59617266	-0.000887784	77.59617266	-0.254215354
52.01601869	-0.000130252	52.01601869	0.035430726
39.21387245	0.000627279	39.21387245	0.325076807
31.52328914	0.001388403	31.52328914	0.616334949
26.38877757	0.001722379	26.38877757	0.764678553
22.71511921	0.002062859	22.71511921	0.915944169
19.95469791	0.002409088	19.95469791	1.069796512
17.80327649	0.002760234	17.80327649	1.225865962
16.07830737	0.003115475	16.07830737	1.383787002
14.66361921	0.003474027	14.66361921	1.543210794
13.48176026	0.003835154	13.48176026	1.70381016
12.47910627	0.004198176	12.47910627	1.865281649
11.61735077	0.004562466	11.61735077	2.02734621
10.86839921	0.004927454	10.86839921	2.189749127
10.21117777	0.00529262	10.21117777	2.352259475
9.629568578	0.005657501	9.629568578	2.514669283
9.111033033	0.00602168	9.111033033	2.676792481
8.64567	0.006384786	8.64567	2.613282288
8.225556479	0.006746496	8.225556479	2.085724208
7.844276666	0.007106522	7.844276666	1.525248932
7.49657946	0.007464619	7.49657946	0.932004595
7.178125308	0.007820572	7.178125308	0.306165945
6.885296341	0.0081742	6.885296341	-0.126887921
6.615052076	0.00852535	6.615052076	-0.128671203
6.364818415	0.008873894	6.364818415	-0.130208724
6.132401317	0.009219725	6.132401317	-0.13063105
5.91591896	0.009562757	5.91591896	-0.130786461
5.713747946	0.009902922	5.713747946	-0.130703082
5.524480257	0.010240164	5.524480257	-0.130393074
5.346888547	0.010574442	5.346888547	-0.129868449
5.179897942	0.010905724	5.179897942	-0.130022304
5.022562961	0.011233985	5.022562961	-0.130029843
4.874048516	0.011559207	4.874048516	-0.129886122
4.733614163	0.011881376	4.733614163	-0.129694464
4.600600984	0.013685819	4.600600984	-0.129426265
4.474420591	0.015629875	4.474420591	-0.129040762
4.354545866	0.017605124	4.354545866	-0.128547419
4.240503127	0.019678896	4.240503127	-0.127979089
4.13186547	0.0218741	4.13186547	-0.126993329
3.929298365	0.022980125	3.929298365	-0.123635259
3.744168067	0.027001755	3.744168067	-0.118316168
3.574256398	0.031195074	3.574256398	-0.112512147
3.417708492	0.035485908	3.417708492	-0.106199731
3.272960581	0.039225761	3.272960581	-0.099459647
3.138684432	0.042059439	3.138684432	-0.094249769
3.013744118	0.041980219	3.013744118	-0.090459449
2.897162037	0.041833483	2.897162037	-0.086637222
2.788091947	0.043214627	2.788091947	-0.083943814
2.685797386	0.045845975	2.685797386	-0.082778189
2.589634249	0.049134466	2.589634249	-0.081923169
2.499036627	0.052413821	2.499036627	-0.081163759
2.413505203	0.058623917	2.413505203	-0.077291271
2.332597686	0.065128633	2.332597686	-0.069958037
2.255920876	0.070955781	2.255920876	-0.061360907
2.18312404	0.07596607	2.18312404	-0.052798116
2.113893345	0.074686628	2.113893345	-0.039281369
2.04794717	0.070388039	2.04794717	-0.028471636
1.985032124	0.064105142	1.985032124	-0.02013343
1.924919648	0.061541451	1.924919648	-0.014138214
1.867403111	0.063542926	1.867403111	-0.016153091
1.812295307	0.07169405	1.812295307	-0.023269863
1.759426295	0.079787627	1.759426295	-0.031045373
1.708641521	0.090000919	1.708641521	-0.0377849
1.659800185	0.096273175	1.659800185	-0.040593834
1.61277381	0.0985482	1.61277381	-0.035589083
1.567444985	0.149683137	1.567444985	-0.030666003
1.523706259	0.260262798	1.523706259	-0.011139825
1.481459159	0.367602416	1.481459159	0.016887906
1.440613318	0.473816917	1.440613318	0.04282711
1.401085701	1.085309649	1.401085701	0.068454359
1.362799908	1.810964965	1.362799908	0.169599498
1.32568555	2.466941116	1.32568555	0.274539423
1.289677684	3.135153075	1.289677684	0.36806317
1.254716309	3.929623896	1.254716309	0.460050695
1.220745897	4.204399325	1.220745897	0.821312255
1.187714973	4.301064893	1.187714973	1.177426456
1.155575732	4.191086115	1.155575732	1.506695478
1.124283681	3.569629828	1.124283681	1.830660916
1.093797312	2.820813096	1.093797312	2.71638287
1.064077803	2.084097452	1.064077803	3.311603268
1.035088729	1.256152822	1.035088729	3.814542528
1.006795808	0.577488799	1.006795808	4.303607348
0.979166647	0.400651599	0.979166647	4.307683526
0.952170512	0.227559064	0.952170512	3.634052076
0.925778107	0.035893871	0.925778107	2.974266197
0.899961366	-0.052754125	0.899961366	2.328564575
0.874693246	-0.071773436	0.874693246	1.346418857
0.84994754	-0.09035714	0.84994754	0.840758259
0.825698683	-0.120935808	0.825698683	0.456207325
0.801921567	-0.130847336	0.801921567	0.082558385
0.778591362	-0.135311692	0.778591362	-0.282358636
0.75568333	-0.139771437	0.75568333	-0.286182155
0.733172644	-0.152076505	0.733172644	-0.271614179
0.711034198	-0.155961398	0.711034198	-0.257699662
0.689242415	-0.15737509	0.689242415	-0.253184988
0.667771041	-0.158921685	0.667771041	-0.248127323
0.646592932	-0.160623253	0.646592932	-0.242830333
0.625679813	-0.156414701	0.625679813	-0.237949219
0.60500202	-0.148555398	0.60500202	-0.23366542
0.584528204	-0.14127749	0.584528204	-0.221229942
0.564224991	-0.134571086	0.564224991	-0.208279672
0.544056576	-0.128415111	0.544056576	-0.196149937
0.523984245	-0.11839944	0.523984245	-0.184806249
0.503965768	-0.107540575	0.503965768	-0.174203455
0.483954639	-0.097534778	0.483954639	-0.1640849
0.463899085	-0.088306487	0.463899085	-0.154505291
0.44374074	-0.079763373	0.44374074	-0.145348527
0.42341282	-0.074484404	0.42341282	-0.134452253
0.402837527	-0.073220012	0.402837527	-0.121472196
0.381922228	-0.071590469	0.381922228	-0.10905894
0.36055359	-0.06944877	0.36055359	-0.097024583
0.338588135	-0.066642259	0.338588135	-0.085170964
0.315836099	-0.062974718	0.315836099	-0.073331776
0.292031745	-0.056009492	0.292031745	-0.060842324
0.266773089	-0.026862756	0.266773089	-0.048729417
0.239381504	-0.003430285	0.239381504	-0.036665428
