P_ads	n_Ads	esp_ads	V_ads	P_Des	n_des	esp_des	V_des
0.001634	1.2287	212.221	0.352155884	0.922189	1.3668	216.554	39.17683117
0.001575	1.2321	212.2	1.348584667	0.878202	1.3665	216.212	39.09622621
0.026485	1.2421	212.17	4.267678978	0.831678	1.3665	215.637	39.09622621
0.08876	1.2503	212.361	6.648370587	0.789271	1.3664	215.047	39.06935423
0.150731	1.257	212.754	8.584845326	0.748765	1.3664	214.374	39.06935423
0.20735	1.2616	213.07	9.90980276	0.710159	1.3661	213.846	38.98872729
0.255456	1.2652	213.257	10.94412664	0.670583	1.3658	213.138	38.90808387
0.299188	1.2683	213.197	11.83296134	0.631167	1.3632	212.19	38.20848392
0.340076	1.2712	212.981	12.66291329	0.592406	1.3515	211.432	35.04497932
0.378992	1.2737	212.973	13.37719343	0.55462	1.3329	210.852	29.96437973
0.416425	1.2761	213.019	14.06185926	0.517897	1.3199	210.059	26.37606329
0.452632	1.2782	213.098	14.66010258	0.476459	1.3142	209.295	24.79306667
0.489305	1.2805	213.223	15.31442158	0.436206	1.3105	208.846	23.76236413
0.526648	1.2827	213.367	15.93941059	0.395647	1.304	208.802	21.94569026
0.563389	1.2851	213.502	16.62023278	0.35658	1.2833	211.155	16.10971244
0.60222	1.2878	213.656	17.38492893	0.316961	1.2698	212.934	12.26243269
0.63773	1.2909	213.751	18.26130672	0.275984	1.2666	213.131	11.34574612
0.675935	1.2949	213.937	19.38957504	0.234789	1.2634	213.012	10.42725037
0.712778	1.3041	214.133	21.97369674	0.191398	1.26	212.745	9.449370198
0.74872	1.3285	214.322	28.75330648	0.146294	1.2558	212.359	8.238592615
0.787695	1.3589	214.779	37.04873794	0.099003	1.2499	212.111	6.532511514
0.827034	1.3664	215.298	39.06935423	0.047246	1.2426	211.885	4.413178441
0.868172	1.3667	215.911	39.14996468	0.001665	1.2335	211.719	1.758299514
0.919077	1.3666	216.525	39.12309636	0.001599	1.2277	211.781	0.058709842
0.922189	1.3668	216.554	39.17683117	0.001647	1.2275	211.77	0
