R_ads	pob_ads	R_des	pob_des
100.0006924	0.000130444	100.0006924	-0.000237728
66.9146785	7.34144E-06	66.9146785	0.000154964
50.3595543	-0.000115761	50.3595543	0.000547656
40.41714552	-0.000239311	40.41714552	0.000942135
33.7813845	-0.000295906	33.7813845	0.00116508
29.03537703	-0.000353308	29.03537703	0.001391255
25.47066916	-0.000411426	25.47066916	0.0016203
22.69366935	-0.000470152	22.69366935	0.001851792
20.46821741	-0.000529379	20.46821741	0.002085308
18.64402489	-0.000589005	18.64402489	0.002320443
17.12089527	-0.000648933	17.12089527	0.002556815
15.82945796	-0.000709073	15.82945796	0.00279407
14.72015908	-0.000769343	14.72015908	0.003031881
13.75665595	-0.000829668	13.75665595	0.003269952
12.91168873	-0.00088998	12.91168873	0.00350801
12.16440897	-0.000950216	12.16440897	0.003745812
11.49859878	-0.001010322	11.49859878	0.003983138
10.90145233	-0.001070248	10.90145233	0.004219793
10.36272282	-0.001129952	10.36272282	0.004455602
9.874113322	-0.001189393	9.874113322	0.004690412
9.428833594	-0.001248539	9.428833594	0.004924089
9.021272637	-0.001307361	9.021272637	0.004493313
8.646753038	-0.001365833	8.646753038	0.003646377
8.301344294	-0.000396819	8.301344294	0.002757392
7.981719216	0.001224903	7.981719216	0.00182664
7.685042238	0.002904524	7.685042238	0.000854419
7.408881658	0.00464152	7.408881658	0.000504241
7.151140041	0.006435361	7.151140041	0.000528034
6.90999854	0.007258401	6.90999854	0.000551928
6.683871988	0.007484905	6.683871988	0.000575903
6.471372412	0.007709165	6.471372412	0.000676878
6.271279189	0.030625798	6.271279189	0.0009369
6.082514452	0.088186269	6.082514452	0.00120291
5.904122729	0.14713733	5.904122729	0.001474826
5.73525396	0.207463833	5.73525396	0.001752568
5.575149281	0.269150775	5.575149281	0.001959118
5.423129039	0.309488665	5.423129039	0.002012332
5.278582664	0.317437604	5.278582664	0.002071958
5.14096005	0.497921089	5.14096005	0.001551066
4.884544925	0.739459722	4.884544925	0.000969744
4.650437552	0.99002601	4.650437552	0.000375102
4.435783961	1.249375988	4.435783961	-0.000232612
4.238199442	1.481024881	4.238199442	0.002305006
4.055675146	1.542009402	4.055675146	0.005958733
3.886506218	1.548813408	3.886506218	0.009755567
3.729235889	1.494127654	3.729235889	0.013652115
3.582611536	1.277282745	3.582611536	0.018056966
3.445549815	1.088864677	3.445549815	0.019392182
3.317108758	0.900056907	3.317108758	0.02027033
3.196465258	0.657348895	3.196465258	0.022899797
3.082896762	0.433602824	3.082896762	0.054684143
2.97576628	0.363165673	2.97576628	0.086490328
2.87451003	0.290962626	2.87451003	0.118699622
2.778627186	0.207609764	2.778627186	0.168108618
2.68767133	0.168064726	2.68767133	0.346245219
2.601243273	0.161556267	2.601243273	0.496898744
2.518985004	0.152052216	2.518985004	0.648618688
2.440574555	0.13298659	2.440574555	0.831351198
2.365721632	0.122850011	2.365721632	1.094695344
2.294163867	0.115157531	2.294163867	1.229076085
2.22566361	0.105840267	2.22566361	1.362979448
2.160005142	0.096211224	2.160005142	1.453698496
2.096992272	0.095382939	2.096992272	1.46336847
2.03644624	0.094316846	2.03644624	1.375462768
1.978203887	0.091347024	1.978203887	1.286035429
1.922116043	0.088591307	1.922116043	1.069817425
1.868046119	0.088169359	1.868046119	0.861605267
1.815868856	0.087563657	1.815868856	0.703034066
1.765469214	0.087664076	1.765469214	0.544157798
1.716741387	0.089335783	1.716741387	0.363654993
1.669587926	0.09169533	1.669587926	0.296860039
1.623918944	0.093624681	1.623918944	0.263735757
1.579651413	0.094643221	1.579651413	0.23055533
1.536708517	0.094649093	1.536708517	0.229762957
1.495019079	0.094469388	1.495019079	0.269915705
1.454517027	0.094898273	1.454517027	0.32112411
1.41514092	0.095884555	1.41514092	0.371441539
1.376833505	0.097515558	1.376833505	0.583396629
1.339541311	0.099024922	1.339541311	0.884405683
1.303214279	0.102401909	1.303214279	1.160199555
1.267805416	0.105127373	1.267805416	1.430706676
