P_ads	n_ads	esp_ads	V_ads	P_des	n_des	esp_des	V_des
0.00168	1.2174	379.782	1.123349962	0.906457	1.3709	371.611	44.37389255
0.001634	1.2203	379.611	1.978988345	0.867046	1.3704	371.356	44.23991736
0.020635	1.2267	379.946	3.862204544	0.822347	1.3699	370.962	44.10589637
0.084131	1.2326	378.89	5.592062888	0.779328	1.3693	370.558	43.9450107
0.145426	1.2389	377.355	7.432566616	0.740414	1.3687	370.057	43.78405907
0.202059	1.245	376.272	9.208083057	0.701072	1.3682	369.514	43.64988233
0.251354	1.2505	375.698	10.80340229	0.662069	1.3674	369.058	43.43510429
0.294302	1.2564	374.909	12.50886322	0.623832	1.3668	368.491	43.27394382
0.335176	1.2628	374.296	14.35194394	0.586497	1.3659	367.958	43.03207949
0.374593	1.2722	373.478	17.04587095	0.549424	1.3649	367.4	42.76316738
0.412492	1.2972	370.638	24.13414327	0.509412	1.364	366.665	42.52098992
0.449448	1.3407	367.142	36.19974191	0.46992	1.3627	365.965	42.17091624
0.485747	1.3619	366.121	41.95533253	0.430345	1.3587	365.743	41.09182658
0.523375	1.3643	366.546	42.60173221	0.392315	1.3482	366.161	38.24529845
0.560776	1.3653	367.069	42.8707542	0.352587	1.3192	368.572	30.27908949
0.596974	1.3663	367.552	43.13959307	0.313317	1.2627	374.269	14.32320125
0.632938	1.3669	368.134	43.30080848	0.272747	1.2524	375.432	11.35328421
0.675226	1.3679	368.562	43.56935431	0.230843	1.247	376.135	9.788809934
0.711852	1.3684	369.105	43.70355853	0.18744	1.2417	376.99	8.248360768
0.749518	1.3691	369.589	43.89136749	0.142078	1.2369	377.659	6.849023889
0.785223	1.3695	370.112	43.99864658	0.094828	1.2313	379.317	5.211422709
0.822622	1.3701	370.542	44.15951026	0.042279	1.2257	380.483	3.568414827
0.860946	1.3706	370.972	44.29351293	0.001637	1.2184	380.911	1.418559749
0.904092	1.3708	371.547	44.34710117	0.0017	1.2137	381.104	0.029593295
0.906457	1.3709	371.611	44.37389255	0.001621	1.2136	381.037	0
