R_ads	pob_ads	R_des	pob_des
45.66605111	-0.000402883	45.66605111	-0.000861114
30.78298072	5.28457E-05	30.78298072	0.000137049
23.32944467	0.000508574	23.32944467	0.001135212
18.8480826	0.000968945	18.8480826	0.002143653
15.85309815	0.001213943	15.85309815	0.002685706
13.70771344	0.001467361	13.70771344	0.003246399
12.09353265	0.001728185	12.09353265	0.003823492
10.83366321	0.001995363	10.83366321	0.004414654
9.821964327	0.002267866	9.821964327	0.005017611
8.990887171	0.002544715	8.990887171	0.005630193
8.295394982	0.002824988	8.295394982	0.006250366
7.704304675	0.003107832	7.704304675	0.00687624
7.195339175	0.003392464	7.195339175	0.00750608
6.752158821	0.00367817	6.752158821	0.008138307
6.362505993	0.003964305	6.362505993	0.008771495
6.01700457	0.004250293	6.01700457	0.00940437
5.70835958	0.004535624	5.70835958	0.010035801
5.430809577	0.00481985	5.430809577	0.010664796
5.179743316	0.005102581	5.179743316	0.011290492
4.951425945	0.005383481	4.951425945	0.011912148
4.742799864	0.005662267	4.742799864	0.012529134
4.55133755	0.0059387	4.55133755	0.01314092
4.374931156	0.006212583	4.374931156	0.013747072
4.211808621	0.006483756	4.211808621	0.014251125
4.06046913	0.007109513	4.06046913	0.014600753
3.919632918	0.009339873	3.919632918	0.01493588
3.788201835	0.011628117	3.788201835	0.015256482
3.665228058	0.01397316	3.665228058	0.015562578
3.549889073	0.016373955	3.549889073	0.015950337
3.441467489	0.018472072	3.441467489	0.016471897
3.339334644	0.019016421	3.339334644	0.016987231
3.242937183	0.019552707	3.242937183	0.017496337
3.151786014	0.020442719	3.151786014	0.018270907
3.065447151	0.021670825	3.065447151	0.019361714
2.983534079	0.022905641	2.983534079	0.020458436
2.905701368	0.024147023	2.905701368	0.021560875
2.831639285	0.025394833	2.831639285	0.02266884
2.761069239	0.026382732	2.761069239	0.023598996
2.693739907	0.026767235	2.693739907	0.02431029
2.567915077	0.026879173	2.567915077	0.025037395
2.452585157	0.027056853	2.452585157	0.0258399
2.346438079	0.027296177	2.346438079	0.0267186
2.248374088	0.029935403	2.248374088	0.027575047
2.157463732	0.033064423	2.157463732	0.028273229
2.072915526	0.036550284	2.072915526	0.029007589
1.994050795	0.039755708	1.994050795	0.029712982
1.920283886	0.041639752	1.920283886	0.030858803
1.85110647	0.041070512	1.85110647	0.036069369
1.786074961	0.040309278	1.786074961	0.041407518
1.724800363	0.041737822	1.724800363	0.046742326
1.666940011	0.04551868	1.666940011	0.051532905
1.612190792	0.050575997	1.612190792	0.053729397
1.560283563	0.055593275	1.560283563	0.051797088
1.510978509	0.059900302	1.510978509	0.049787039
1.464061258	0.060269647	1.464061258	0.049741973
1.419339629	0.058452452	1.419339629	0.05350016
1.376640869	0.056554903	1.376640869	0.059257932
1.335809317	0.059124285	1.335809317	0.064916183
1.296704401	0.064246892	1.296704401	0.07200944
1.259198919	0.070860332	1.259198919	0.077774922
1.223177561	0.07745161	1.223177561	0.080047577
1.188535625	0.085373794	1.188535625	0.082188943
1.155177897	0.088568465	1.155177897	0.081679906
1.123017676	0.08960555	1.123017676	0.079376734
1.091975913	0.100949885	1.091975913	0.076151622
1.061980459	0.132497556	1.061980459	0.072861203
1.032965387	0.161837879	1.032965387	0.079061146
1.004870399	0.190457719	1.004870399	0.088127947
0.977640295	0.493822012	0.977640295	0.097051129
0.951224489	0.983955619	0.951224489	0.105673059
0.92557658	1.441162976	0.92557658	0.173312183
0.900653965	1.88630766	0.900653965	0.230022508
0.876417481	2.856386974	0.876417481	0.284445835
0.852831084	3.554477792	0.852831084	0.342792793
0.829861552	4.025697887	0.829861552	0.555704066
0.807478213	4.363149329	0.807478213	0.702513428
0.785652694	4.337658347	0.785652694	0.843647679
0.76435869	3.774137204	0.76435869	1.077006427
0.743571741	3.194114081	0.743571741	1.617613992
0.723269036	2.448235248	0.723269036	1.981762457
0.703429218	1.629470294	0.703429218	2.331098516
0.684032206	1.188124515	0.684032206	2.839860785
0.665059024	0.762204062	0.665059024	3.723845964
0.646491638	0.313587263	0.646491638	4.248290602
0.628312802	0.028546668	0.628312802	4.747204854
0.61050591	-0.032927693	0.61050591	4.875246061
0.593054849	-0.091984024	0.593054849	4.133194562
0.575943861	-0.155061517	0.575943861	2.929361642
0.559157408	-0.185940095	0.559157408	1.777608085
0.542680034	-0.180689562	0.542680034	0.648515311
0.526496234	-0.175952913	0.526496234	-0.156549784
0.51059032	-0.174804155	0.51059032	-0.235893539
0.494946289	-0.186616228	0.494946289	-0.311485132
0.479547687	-0.189869429	0.479547687	-0.383957995
0.464377466	-0.193306697	0.464377466	-0.429594274
0.449417845	-0.19697473	0.449417845	-0.400085103
0.434650149	-0.198434558	0.434650149	-0.372630857
0.420054651	-0.183497359	0.420054651	-0.347209906
0.405610392	-0.16996729	0.405610392	-0.332292085
0.39129498	-0.157810202	0.39129498	-0.316791596
0.377084368	-0.14697591	0.377084368	-0.302517272
0.362952591	-0.136857205	0.362952591	-0.289383686
0.34887146	-0.12705643	0.34887146	-0.275695925
0.334810181	-0.119278815	0.334810181	-0.248424056
0.320734891	-0.112399207	0.320734891	-0.220498981
0.306608051	-0.106268713	0.306608051	-0.194921711
0.292387647	-0.100718354	0.292387647	-0.171447818
0.278026106	-0.094439224	0.278026106	-0.153120054
