P_ads	n_ads	esp_Ads	V_ads	p_des	n_des	esp_des	V_des
0.001657	1.2913	357.401	0.254190771	0.917506	1.397	353.816	29.08653048
0.001666	1.2919	357.459	0.423570736	0.883618	1.3968	353.234	29.03390395
0.02645	1.2952	357.576	1.354007847	0.839209	1.3964	352.416	28.92862882
0.093157	1.2981	357.566	2.170052668	0.798933	1.3963	351.619	28.90230545
0.157167	1.2999	358.109	2.67580385	0.760123	1.3953	350.878	28.63897067
0.216417	1.3023	357.992	3.349233018	0.720273	1.3952	349.77	28.61262708
0.266125	1.3044	358.092	3.937633656	0.676822	1.3941	348.919	28.32272643
0.310053	1.3061	358.228	4.413376509	0.636903	1.3861	349.012	26.20767245
0.350426	1.3079	358.183	4.916536737	0.599346	1.3653	352.702	20.65356981
0.389629	1.3095	358.271	5.363299913	0.56078	1.3397	358.665	13.70904194
0.429867	1.311	358.418	5.781720976	0.519826	1.3222	361.598	8.89307935
0.466357	1.3125	358.595	6.199735916	0.478397	1.3143	361.204	6.700817443
0.504014	1.3146	358.448	6.784274115	0.438687	1.3108	360.349	5.725954961
0.541459	1.3166	358.357	7.340236141	0.398031	1.3088	359.456	5.167897832
0.578405	1.3185	358.496	7.867729959	0.357569	1.3076	358.671	4.832717252
0.614981	1.3209	358.34	8.533103991	0.316379	1.3062	358.153	4.441345172
0.650645	1.3238	358.132	9.335705516	0.27491	1.3044	358.028	3.937633656
0.68661	1.3269	358.17	10.19197268	0.231946	1.3026	358.04	3.433338835
0.723819	1.3331	357.916	11.89927319	0.188424	1.3008	358.005	2.928461139
0.764796	1.3456	357.613	15.32014951	0.14237	1.299	357.788	2.423001008
0.80046	1.366	356	20.84177625	0.093408	1.2967	357.862	1.776288411
0.838197	1.3911	353.292	27.53095857	0.039396	1.2946	357.578	1.184982631
0.875232	1.3967	353.109	29.00758792	0.001686	1.2918	357.331	0.395345218
0.917009	1.3971	353.737	29.112841	0.001676	1.2904	357.357	0
0.917506	1.397	353.816	29.08653048	0.001702	1.2912	356.742	0.225954511
