R_ads	pob_ads	R_des	pob_des
81.16692797	-0.0007145	81.16692797	-0.000336917
54.39051586	0.000327279	54.39051586	0.000157926
40.9902329	0.001369059	40.9902329	0.00065277
32.94076139	0.002416849	32.94076139	0.001150474
27.56698584	0.002996782	27.56698584	0.001426537
23.72242017	0.003587611	23.72242017	0.001707788
20.83381444	0.004188096	20.83381444	0.001993635
18.58269049	0.00479686	18.58269049	0.002283425
16.77795614	0.005412538	16.77795614	0.002576506
15.29800258	0.006033824	15.29800258	0.002872258
14.06175308	0.006659496	14.06175308	0.003170098
13.0130738	0.007288418	13.0130738	0.003469486
12.11186569	0.007919546	12.11186569	0.003769924
11.32871963	0.008551925	11.32871963	0.004070959
10.64157592	0.009184689	10.64157592	0.004372178
10.03356272	0.00981706	10.03356272	0.00467321
9.491555052	0.010448338	9.491555052	0.004973723
9.005188831	0.011077901	9.005188831	0.00527342
8.566170702	0.011705201	8.566170702	0.005572039
8.167785052	0.012329755	8.167785052	0.005869352
7.804535479	0.012951143	7.804535479	0.007141029
7.471879791	0.015471107	7.471879791	0.008841891
7.166031253	0.05889239	7.166031253	0.010596763
6.883807531	0.103920117	6.883807531	0.012404999
6.622514505	0.150538156	6.622514505	0.014265962
6.379855888	0.198730281	6.379855888	0.015203159
6.153862221	0.246578126	6.153862221	0.015760983
5.942834556	0.25506239	5.942834556	0.016313861
5.745299397	0.263461482	5.745299397	0.016861727
5.559972371	0.402642599	5.559972371	0.014634549
5.385728702	0.621475213	5.385728702	0.011789891
5.22157906	0.845697421	5.22157906	0.008852107
5.066649661	1.075245091	5.066649661	0.005822221
4.920165793	1.310054997	4.920165793	0.002701247
4.781438074	1.419197335	4.781438074	0.002260177
4.649850945	1.453740984	4.649850945	0.002342413
4.524852978	1.484165278	4.524852978	0.002424566
4.405948674	1.480549617	4.405948674	0.01378472
4.292691494	1.481298515	4.292691494	0.026998921
4.081542277	1.48622519	4.081542277	0.040693114
3.888606181	1.419913842	3.888606181	0.05467216
3.711563698	1.273845078	3.711563698	0.053844725
3.548475518	1.160458676	3.548475518	0.041750925
3.397706937	1.041283668	3.397706937	0.027814768
3.257869697	0.881125787	3.257869697	0.013869273
3.127776736	0.730777862	3.127776736	0.016568133
3.006406621	0.660279497	3.006406621	0.034437055
2.892875321	0.587088072	2.892875321	0.052642373
2.786413621	0.467616406	2.786413621	0.071167816
2.686348888	0.357165578	2.686348888	0.182659216
2.592090248	0.303009734	2.592090248	0.323331087
2.50311644	0.247160384	2.50311644	0.465700396
2.418965812	0.186944576	2.418965812	0.609632923
2.33922801	0.168882061	2.33922801	0.966739576
2.263537052	0.173052719	2.263537052	1.330756598
2.1915655	0.170036504	2.1915655	1.652358584
2.12301956	0.15980291	2.12301956	1.975108462
2.05763491	0.151962919	2.05763491	2.402650283
1.995173152	0.143660025	1.995173152	2.626606378
1.935418773	0.120583154	1.935418773	2.752125372
1.878176525	0.101065679	1.878176525	2.857515085
1.823269174	0.088108184	1.823269174	2.748509197
1.770535528	0.075394829	1.770535528	2.533149214
1.719828738	0.065734945	1.719828738	2.307788751
1.671014799	0.070103061	1.671014799	2.08001301
1.623971239	0.076965709	1.623971239	1.623721676
1.578585962	0.085497284	1.578585962	1.374537139
1.534756227	0.09608524	1.534756227	1.125138144
1.492387734	0.103038233	1.492387734	0.875792465
1.451393819	0.109729991	1.451393819	0.534801464
1.411694727	0.104967413	1.411694727	0.421839645
1.373216963	0.091738264	1.373216963	0.313810481
1.3358927	0.075634147	1.3358927	0.206451518
1.299659258	0.059587403	1.299659258	0.058129088
1.264458613	0.036709039	1.264458613	-0.002985573
1.230236967	0.02515569	1.230236967	-0.04571947
1.196944339	0.020144175	1.196944339	-0.087857418
1.164534203	0.015164403	1.164534203	-0.143957968
1.132963146	0.016674649	1.132963146	-0.160922947
1.102190552	0.0252528	1.102190552	-0.171168826
1.072178315	0.033712256	1.072178315	-0.181110748
1.042890561	0.042185796	1.042890561	-0.188219589
1.014293399	0.055618917	1.014293399	-0.179697341
0.986354675	0.062231226	0.986354675	-0.167702465
0.959043744	0.068351935	0.959043744	-0.155897261
0.932331258	0.07417952	0.932331258	-0.136553474
0.906188955	0.070973176	0.906188955	-0.115852911
0.880589456	0.06257489	0.880589456	-0.096521503
0.855506075	0.054294969	0.855506075	-0.077757573
0.830912627	0.046122433	0.830912627	-0.061080118
0.806783238	0.040695357	0.806783238	-0.054248276
0.783092157	0.045419764	0.783092157	-0.052089043
0.759813571	0.049793662	0.759813571	-0.050141301
0.736921406	0.053799873	0.736921406	-0.048573725
0.714389131	0.057420947	0.714389131	-0.04635336
0.692189546	0.057630721	0.692189546	-0.042907612
0.670294558	0.055695598	0.670294558	-0.039832432
0.648674938	0.053514616	0.648674938	-0.037142651
0.627300047	0.051075825	0.627300047	-0.036552681
0.606137535	0.048370378	0.606137535	-0.03601012
0.585152984	0.045798114	0.585152984	-0.03577201
0.564309491	0.036017996	0.564309491	-0.035829021
0.543567162	0.02376564	0.543567162	-0.034421985
0.52288249	0.011962389	0.52288249	-0.026229881
0.502207554	0.000637116	0.502207554	-0.01861049
0.48148899	-0.010172395	0.48148899	-0.011872171
0.460666603	-0.01328139	0.460666603	-0.005954531
0.439671461	-0.011044863	0.439671461	-0.004488923
0.418423179	-0.004134902	0.418423179	-0.012083302
0.396825924	0.001787005	0.396825924	-0.018911145
0.374762278	0.006818133	0.374762278	-0.024859909
0.352083351	0.011071887	0.352083351	-0.029810111
0.328591894	0.012128974	0.328591894	-0.031672908
0.304011217	0.007964562	0.304011217	-0.018016112
0.277922102	0.01363658	0.277922102	-0.006593821
0.249615839	0.019520237	0.249615839	0.002198968
0.217671218	0.023325523	0.217671218	0.009540791
0.178158	0.027329194	0.178158	0.016098328
0.173372279	0.031371018	0.173372279	0.010667939
0.168323774	0.026088906	0.168323774	0.007004447
0.162953591	0.021033078	0.162953591	0.005430753
