R_das	pob_ads	R_des	Pob_des
75.60778487	-0.000714176	75.60778487	-0.00011956
50.6937715	0.000220614	50.6937715	3.94781E-05
38.22469983	0.001155403	38.22469983	0.000198516
30.73396468	0.002095873	30.73396468	0.000358525
25.73268811	0.002601416	25.73268811	0.000445006
22.15420009	0.003117259	22.15420009	0.00053325
19.46515875	0.003642223	19.46515875	0.000623055
17.36925704	0.004175012	17.36925704	0.000714199
15.68870547	0.004714346	15.68870547	0.000806463
14.31036058	0.005259005	14.31036058	0.000899639
13.15878919	0.005807844	13.15878919	0.00099353
12.18176456	0.0063598	12.18176456	0.001087955
11.34197838	0.006913897	11.34197838	0.001182747
10.61206814	0.007469241	10.61206814	0.001277753
9.971509035	0.008025025	9.971509035	0.001372834
9.404603003	0.00858052	9.404603003	0.001467867
8.899137995	0.009135075	8.899137995	0.001562739
8.445470663	0.00968811	8.445470663	0.001657352
8.035884239	0.010239115	8.035884239	0.001751618
7.664129871	0.010787642	7.664129871	0.001845461
7.325093056	0.011333301	7.325093056	0.001938813
7.014547081	0.011875758	7.014547081	0.002031618
6.728968109	0.012414726	6.728968109	0.002644613
6.465394646	0.012949963	6.465394646	0.008153849
6.221319432	0.012350235	6.221319432	0.013856039
5.99460536	0.011216972	5.99460536	0.019749083
5.78341941	0.01002555	5.78341941	0.025830884
5.586180254	0.008776464	5.586180254	0.031578564
5.401516335	0.007470225	5.401516335	0.032613952
5.228232064	0.007238393	5.228232064	0.033638236
5.065280352	0.007479909	5.065280352	0.03465144
4.91174014	0.007719806	4.91174014	0.031779097
4.766797884	0.00795803	4.766797884	0.024206718
4.629732225	0.009863059	4.629732225	0.016420635
4.499901209	0.013534001	4.499901209	0.008423486
4.376731576	0.017277998	4.376731576	0.000217874
4.259709746	0.02109404	4.259709746	-0.004319126
4.148374187	0.025066451	4.148374187	-0.0043794
4.042308927	0.027554033	4.042308927	-0.000925938
3.844520802	0.026552066	3.844520802	0.007739743
3.66373719	0.024915406	3.66373719	0.016680538
3.49779634	0.023294575	3.49779634	0.025888856
3.344890409	0.021602217	3.344890409	0.035624467
3.20349513	0.022937436	3.20349513	0.042868513
3.072315694	0.026386319	3.072315694	0.045169969
2.95024465	0.030544654	2.95024465	0.047456527
2.836328802	0.035181659	2.836328802	0.046947663
2.729742953	0.040855062	2.729742953	0.040727457
2.629768877	0.043466294	2.629768877	0.03358103
2.535778358	0.04582539	2.535778358	0.026256834
2.447219388	0.045534466	2.447219388	0.020729777
2.363604867	0.042289503	2.363604867	0.027411936
2.284503288	0.037975304	2.284503288	0.039486266
2.209531003	0.033557384	2.209531003	0.051649755
2.138345768	0.036522763	2.138345768	0.062877796
2.070641329	0.043191636	2.070641329	0.070238819
2.006142843	0.052314845	2.006142843	0.068036868
1.944603005	0.0631227	1.944603005	0.065738789
1.885798734	0.077353878	1.885798734	0.062092113
1.829528348	0.084083952	1.829528348	0.05784822
1.775609116	0.089610209	1.775609116	0.055471898
1.72387516	0.091304683	1.72387516	0.053021889
1.674175623	0.089079907	1.674175623	0.054904611
1.626373072	0.083339036	1.626373072	0.064504409
1.580342108	0.077512442	1.580342108	0.07549494
1.53596814	0.070741791	1.53596814	0.086354203
1.493146302	0.067201107	1.493146302	0.096187603
1.451780497	0.065741807	1.451780497	0.101454288
1.411782551	0.065247202	1.411782551	0.100038905
1.373071447	0.076174327	1.373071447	0.098525467
1.335572654	0.087750549	1.335572654	0.094242872
1.299217514	0.099543161	1.299217514	0.090025373
1.263942689	0.168663776	1.263942689	0.085787589
1.229689669	0.31322396	1.229689669	0.081515838
1.196404315	0.443781709	1.196404315	0.089718136
1.16403645	0.571896075	1.16403645	0.101238798
1.132539476	0.989589564	1.132539476	0.113228894
1.101870034	1.413648096	1.101870034	0.124907381
1.071987679	1.750774018	1.071987679	0.215896806
1.042854583	2.099262618	1.042854583	0.294928047
1.014435262	2.526366393	1.014435262	0.371103087
0.986696317	2.650468827	0.986696317	0.445308581
0.959606191	2.697068812	0.959606191	0.922471787
0.93313494	2.737676974	0.93313494	1.31760064
0.907254019	2.581889682	0.907254019	1.698565627
0.881936076	2.341059512	0.881936076	2.068021338
0.857154749	2.104690132	0.857154749	3.017772144
0.83288448	1.872834202	0.83288448	3.53434448
0.80910033	1.446892295	0.80910033	4.020534952
0.785777792	1.203409428	0.785777792	4.487073174
0.762892616	0.966424061	0.762892616	4.063781638
0.740420628	0.735897285	0.740420628	3.053357733
0.71833755	0.44400523	0.71833755	2.073250442
0.696618814	0.343071722	0.696618814	1.125841486
0.675239376	0.247747812	0.675239376	0.171991504
0.65417351	0.155298714	0.65417351	0.116039924
0.633394597	0.065682577	0.633394597	0.070274863
0.612874896	0.030313859	0.612874896	0.025580041
0.592585285	0.014994992	0.592585285	-0.029960361
0.572494972	-0.000354753	0.572494972	-0.050488033
0.552571163	-0.01573232	0.552571163	-0.064067345
0.532778669	-0.031117088	0.532778669	-0.07765028
0.513079429	-0.036821029	0.513079429	-0.093271623
0.493431925	-0.053152441	0.493431925	-0.10746223
0.473790439	-0.068767349	0.473790439	-0.115185733
0.454104084	-0.083554925	0.454104084	-0.122530864
0.434315513	-0.097380119	0.434315513	-0.12934386
0.414359138	-0.103401371	0.414359138	-0.135199561
0.394158601	-0.099085194	0.394158601	-0.131717878
0.373623051	-0.096111327	0.373623051	-0.127637105
0.352641432	-0.092520878	0.352641432	-0.122735204
0.331073275	-0.088106734	0.331073275	-0.116785274
0.308732989	-0.082661691	0.308732989	-0.103547032
0.285360934	-0.075033771	0.285360934	-0.076245701
0.260564721	-0.058998793	0.260564721	-0.052435429
0.233682478	-0.014191316	0.233682478	-0.031527977
0.203389284	0.018803388	0.203389284	-0.013126962
0.166025711	0.047956052	0.166025711	-0.001596324
0.161511354	0.073029459	0.161511354	-0.003430248
0.156752187	0.088135526	0.156752187	-0.003900795
0.151693414	0.071022016	0.151693414	-0.003722612
0.146257492	0.062095459	0.146257492	-0.003462761
0.140328801	0.053153323	0.140328801	-0.003144618
0.133722246	0.044139936	0.133722246	-0.002761689
0.126109325	0.035106949	0.126109325	-0.002348058
0.116802465	0.026073961	0.116802465	-0.001934427
