p_ads	n_ads	esp_ads	V_ads	p_des	n_des	p_des	V_des
0.001636	1.2795	192.025	0.313013478	0.95395	1.3873	199.402	29.92871425
0.001582	1.2833	191.981	1.392675192	0.913613	1.3874	199.008	29.95520293
0.03442	1.2932	192.253	4.193373984	0.862916	1.3872	198.54	29.90222374
0.095839	1.3013	192.576	6.471797866	0.81671	1.3873	197.926	29.92871425
0.1569	1.308	193.106	8.347507441	0.77313	1.3873	197.292	29.92871425
0.21409	1.313	193.584	9.742018422	0.730547	1.3874	196.577	29.95520293
0.264924	1.3168	194.027	10.79882704	0.690346	1.3874	195.858	29.95520293
0.310317	1.3199	194.443	11.65902604	0.650619	1.3873	195.132	29.92871425
0.353491	1.3228	194.83	12.46215302	0.611244	1.3869	194.282	29.82274119
0.397614	1.3254	195.241	13.18090202	0.57328	1.3848	193.426	29.26590067
0.435896	1.3281	195.558	13.92599728	0.5328	1.3813	192.346	28.33603427
0.475165	1.3308	195.886	14.66976904	0.48966	1.376	191.512	26.92367188
0.512949	1.3337	196.213	15.46715959	0.448276	1.3722	190.627	25.90786369
0.550563	1.3371	196.601	16.40008359	0.409272	1.3697	189.805	25.23812524
0.589601	1.3461	194.099	18.85942681	0.368302	1.3599	189.25	22.60171096
0.625369	1.3531	194.188	20.76203518	0.328559	1.3214	194.157	12.07462677
0.658516	1.3623	194.429	23.24898912	0.287433	1.3184	193.814	11.24301789
0.696204	1.3723	194.973	25.9346294	0.244115	1.3151	193.412	10.3263669
0.736445	1.3802	195.7	28.04332624	0.199255	1.3115	192.928	9.324138906
0.776438	1.3852	196.534	29.37202794	0.153819	1.307	192.436	8.068064093
0.818115	1.3873	197.337	29.92871425	0.104624	1.3012	191.973	6.443741012
0.863883	1.3879	197.923	30.08761877	0.053076	1.294	191.523	4.418927356
0.908683	1.3877	198.616	30.03465794	0.002875	1.2847	191.203	1.789796521
0.950277	1.3874	199.259	29.95520293	0.001567	1.2786	190.992	0.056927552
0.95395	1.3873	199.402	29.92871425	0.0016	1.2784	190.982	0
