R_ads	pob_ads	R_des	pob_des
95.6131949	0.000762443	95.6131949	0.000152685
63.99706037	-2.71944E-05	63.99706037	-6.62136E-05
48.17688527	-0.000816832	48.17688527	-0.000285113
38.67545352	-0.001609675	38.67545352	-0.000505026
32.33368355	-0.001991476	32.33368355	-0.000624859
27.79767519	-0.002379074	27.79767519	-0.000746527
24.39047149	-0.002771811	24.39047149	-0.000869826
21.73597926	-0.003168929	21.73597926	-0.000994516
19.60853733	-0.00356967	19.60853733	-0.001120359
17.86453842	-0.003973307	17.86453842	-0.001247128
16.40824015	-0.004379159	16.40824015	-0.001374607
15.17335554	-0.004786593	15.17335554	-0.001502598
14.1125333	-0.005195027	14.1125333	-0.001630918
13.191046	-0.00560393	13.191046	-0.001759399
12.38284521	-0.006012819	12.38284521	-0.000966865
11.66800886	-0.005975064	11.66800886	0.000255824
11.03103961	-0.005742796	11.03103961	0.001553661
10.45970042	-0.005475965	10.45970042	0.002926361
9.944199592	-0.005174463	9.944199592	0.004373584
9.47660856	-0.004838235	9.47660856	0.004973921
9.050438506	-0.004913465	9.050438506	0.005217943
8.660327416	-0.005147667	8.660327416	0.00546032
8.301805368	-0.005380614	8.301805368	0.005700959
7.971116152	-0.00561221	7.971116152	0.005939782
7.665080059	-0.001759313	7.665080059	0.005069464
7.380987151	0.00345426	7.380987151	0.003337638
7.116513412	0.008847286	7.116513412	0.001539591
6.869654238	0.014418071	6.869654238	-0.000324076
6.638671233	0.020164917	6.638671233	-0.002252755
6.422049302	0.022003063	6.422049302	-0.003138575
6.21846179	0.022654696	6.21846179	-0.003228602
6.026741952	0.023299405	6.026741952	-0.003317548
5.845859467	0.023937241	5.845859467	-0.00340543
5.67490097	0.034196322	5.67490097	-0.003267261
5.513053834	0.05066085	5.513053834	-0.002677877
5.359592579	0.067473529	5.359592579	-0.002072372
5.213867423	0.084630378	5.213867423	-0.001450932
5.075294603	0.102445213	5.075294603	-0.000814742
4.943348139	0.111416681	4.943348139	-0.000389327
4.697478121	0.139727666	4.697478121	-0.000825
4.472961973	0.183565139	4.472961973	-0.002249151
4.267070233	0.229031466	4.267070233	-0.003718548
4.077521952	0.275758782	4.077521952	-0.005230944
3.90239544	0.35028296	3.90239544	-0.006667299
3.740059596	0.416984806	3.740059596	-0.005615529
3.589120484	0.47055746	3.589120484	-0.003563438
3.448379336	0.524805821	3.448379336	-0.001454683
3.316799241	0.609686566	3.316799241	0.000731477
3.193478476	0.687862415	3.193478476	0.003497251
3.077628989	0.751489016	3.077628989	0.004222602
2.9685589	0.815383752	2.9685589	0.004956576
2.865658181	0.88805529	2.865658181	0.006029013
2.768386842	0.932484832	2.768386842	0.012214763
2.676265133	0.957643469	2.676265133	0.017825974
2.588865374	0.948175487	2.588865374	0.023489278
2.505805093	0.907818453	2.505805093	0.034085001
2.426741236	0.857511581	2.426741236	0.079443059
2.351365266	0.804209929	2.351365266	0.119964595
2.279398977	0.777347366	2.279398977	0.16067064
2.210590919	0.784200242	2.210590919	0.210008839
2.144713318	0.819820097	2.144713318	0.272217671
2.081559421	0.847463584	2.081559421	0.29947818
2.02094119	0.752320447	2.02094119	0.326517494
1.9626873	0.628514174	1.9626873	0.362700183
1.906641382	0.502745674	1.906641382	0.414488521
1.852660486	0.372534327	1.852660486	0.44821743
1.800613731	0.239891166	1.800613731	0.481440941
1.7503811	0.228874404	1.7503811	0.514130094
1.701852388	0.217576076	1.701852388	0.508185145
1.654926246	0.202573474	1.654926246	0.476481226
1.609509349	0.187904846	1.609509349	0.444517537
1.565515627	0.182177593	1.565515627	0.412332008
1.522865593	0.176266033	1.522865593	0.358082295
1.481485726	0.170945654	1.481485726	0.328058541
1.441307912	0.16943984	1.441307912	0.299062191
1.402268938	0.170993121	1.402268938	0.270103932
1.364310033	0.17234713	1.364310033	0.400338689
1.327376443	0.164633914	1.327376443	0.562523585
1.29141704	0.153353043	1.29141704	0.726344882
1.256383965	0.141578125	1.256383965	0.887098599
1.222232295	0.129854964	1.222232295	1.64271472
1.188919732	0.120739959	1.188919732	2.345787852
1.156406312	0.125236247	1.156406312	3.020900349
1.124654136	0.132271277	1.124654136	3.68044318
1.093627109	0.13901571	1.093627109	3.591574009
1.063290696	0.145522752	1.063290696	2.784136712
1.033611691	0.151056788	1.033611691	1.871720196
1.004557987	0.151546757	1.004557987	0.978872811
0.976098363	0.151803173	0.976098363	0.107350935
0.948202265	0.15181117	0.948202265	-0.010921094
0.9208396	0.154358228	0.9208396	-0.004254203
0.893980525	0.15755013	0.893980525	0.001993629
0.867595231	0.160293375	0.867595231	0.009835438
0.841653733	0.162563442	0.841653733	0.018578358
0.816125639	0.164334403	0.816125639	0.026169867
0.790979917	0.16701245	0.790979917	0.033068105
0.766184642	0.17219428	0.766184642	0.03923876
0.741706716	0.176521122	0.741706716	0.055584823
0.717511564	0.179962427	0.717511564	0.068716646
0.693562781	0.182490049	0.693562781	0.080521178
0.669821731	0.179779968	0.669821731	0.090975295
0.646247059	0.181058981	0.646247059	0.105146179
0.622794109	0.185770037	0.622794109	0.112491719
0.599414199	0.18893036	0.599414199	0.117205004
0.576053689	0.19054686	0.576053689	0.12038309
0.552652774	0.190645006	0.552652774	0.122079963
0.529143862	0.178456247	0.529143862	0.122934255
0.505449327	0.167455355	0.505449327	0.120449371
0.481478323	0.159717129	0.481478323	0.116443354
0.457122068	0.150605669	0.457122068	0.111118505
0.432246614	0.140323555	0.432246614	0.104724376
0.406681184	0.129120557	0.406681184	0.096214313
0.380198236	0.110784374	0.380198236	0.089120207
0.352476775	0.114867513	0.352476775	0.080554776
0.32302786	0.137449625	0.32302786	0.071057942
0.291021069	0.14433984	0.291021069	0.061205412
0.254784966	0.145819648	0.254784966	0.048826294
0.209685572	0.149672675	0.209685572	0.032068076
0.204194674	0.129349759	0.204194674	0.020554817
0.19839428	0.093493654	0.19839428	0.013662342
0.19221485	0.076155028	0.19221485	0.010658184
0.185557972	0.066831553	0.185557972	0.009182094
0.178276904	0.057424256	0.178276904	0.007740886
0.170136719	0.047869708	0.170136719	0.106969511
0.16072047	0.038259591	0.16072047	0.206214555
0.149155445	0.028649474	0.149155445	0.3054596
