P_ads	n_ads	esp_ads	V_ads	P_des	n_des	esp_des	V_des
0.001643	1.2147	382.922	45.91582156	0.904397	1.3719	375.15	1.599548917
0.001598	1.2177	383.069	45.72837177	0.867022	1.3712	374.977	2.486046906
0.020608	1.2255	382.972	45.62121728	0.82293	1.3708	374.469	4.783752392
0.083878	1.232	381.413	45.51403347	0.782311	1.3704	373.884	6.690535139
0.144368	1.2386	380.106	45.38001247	0.741607	1.3699	373.307	8.619195513
0.200037	1.2441	379.69	45.19230612	0.704455	1.3692	372.742	10.22064467
0.249611	1.2496	379.199	45.00450998	0.66217	1.3685	372.15	11.81682762
0.29152	1.256	378.306	44.84347041	0.62437	1.3679	371.391	13.66754772
0.331531	1.2628	377.893	44.62864841	0.587155	1.3671	370.706	15.62606005
0.370069	1.2748	377.098	44.38683353	0.549843	1.3662	369.98	19.06235428
0.407628	1.3033	374.351	44.11797635	0.510667	1.3652	369.208	27.12082326
0.443464	1.3435	369.949	43.82202195	0.471787	1.3641	368.289	38.23873227
0.481327	1.3626	368.466	43.20249244	0.43231	1.3618	367.542	43.41809079
0.520834	1.3653	368.887	41.66296496	0.394206	1.3561	367.195	44.1448703
0.560706	1.3664	369.509	36.95402267	0.354391	1.3388	368.106	44.44058299
0.59284	1.3673	370.106	22.67125575	0.313532	1.2875	373.121	44.6823649
0.630169	1.3681	370.754	12.74308442	0.272628	1.2528	378.378	44.8971576
0.667078	1.3687	371.449	11.03390626	0.230971	1.2469	379.071	45.05817518
0.709191	1.3692	372.138	9.435135481	0.187253	1.2414	379.85	45.19230612
0.743176	1.3698	372.711	7.772681816	0.14245	1.2357	380.888	45.35320278
0.779544	1.3706	373.248	6.016658639	0.094947	1.2297	382.501	45.56762904
0.821294	1.3709	373.92	4.166163507	0.042859	1.2234	384.101	45.64800865
0.861871	1.3714	374.528	1.569972613	0.001644	1.2146	385.219	45.78193802
0.901486	1.3716	375.153	0.059330661	0.00166	1.2095	385.022	45.83549694
0.904397	1.3719	375.15	0	0.001612	1.2093	384.891	45.91582156
