R_ads	pob_ads	R_Des	pob_des
73.43075094	-0.000288463	73.43075094	-0.000995375
49.24607754	5.29872E-05	49.24607754	0.000220024
37.14168052	0.000394437	37.14168052	0.001435423
29.86975392	0.000737954	29.86975392	0.002658275
25.01435287	0.000916338	25.01435287	0.003300882
21.54006438	0.001098472	21.54006438	0.003957006
18.92917508	0.001283923	18.92917508	0.004625093
16.89406046	0.00147222	16.89406046	0.005303446
15.2621405	0.0016629	15.2621405	0.005990388
13.92358691	0.001855517	13.92358691	0.006684323
12.8051766	0.002049656	12.8051766	0.007383751
11.85621286	0.002244932	11.85621286	0.008087283
11.04048034	0.002440989	11.04048034	0.008793639
10.33141794	0.002637504	10.33141794	0.009501655
9.709101984	0.002834183	9.709101984	0.010210271
9.158294062	0.003030762	9.158294062	0.010918536
8.667139643	0.003227005	8.667139643	0.011625599
8.226277628	0.003422702	8.226277628	0.012330703
7.828217049	0.003617669	7.828217049	0.013033183
7.466891845	0.003811743	7.466891845	0.013732454
7.137337065	0.004004783	7.137337065	0.01442801
6.835449545	0.00419667	6.835449545	0.015119415
6.557808404	0.0043873	6.557808404	0.015806298
6.301538629	0.004576585	6.301538629	0.015778282
6.064206138	0.0052888	6.064206138	0.014630906
5.843736161	0.006928945	5.843736161	0.013416163
5.638349108	0.008614647	5.638349108	0.01213457
5.446509715	0.010345326	5.446509715	0.010786679
5.266886343	0.012120415	5.266886343	0.010083129
5.098318174	0.013415009	5.098318174	0.010428717
4.939788542	0.013823502	4.939788542	0.010771845
4.790403123	0.014227682	4.790403123	0.011112442
4.649371963	0.014430267	4.649371963	0.011649349
4.5159946	0.014042173	4.5159946	0.012332961
4.38964765	0.013632117	4.38964765	0.013021753
4.26977442	0.013200351	4.26977442	0.013715572
4.155876151	0.012747123	4.155876151	0.014414271
4.047504612	0.012511157	4.047504612	0.014969618
3.944255804	0.01289565	3.944255804	0.015545226
3.751700059	0.017134516	3.751700059	0.01652191
3.57567552	0.021731553	3.57567552	0.017573345
3.414082216	0.026496875	3.414082216	0.018696641
3.265163789	0.031135263	3.265163789	0.020206656
3.127439218	0.035315502	3.127439218	0.023624694
2.999650294	0.035769725	2.999650294	0.026755043
2.880720738	0.035988235	2.880720738	0.029918259
2.76972408	0.033714982	2.76972408	0.033109669
2.665858161	0.031372787	2.665858161	0.035956693
2.568424725	0.029491939	2.568424725	0.036818802
2.476812948	0.027532972	2.476812948	0.037644941
2.390486044	0.027065445	2.390486044	0.038115853
2.308970291	0.029642454	2.308970291	0.037371416
2.231845986	0.032430752	2.231845986	0.036571577
2.15873994	0.035277402	2.15873994	0.035713753
2.089319207	0.04217251	2.089319207	0.036680527
2.023285824	0.047505163	2.023285824	0.040390014
1.960372375	0.052154608	1.960372375	0.045237047
1.900338216	0.057278403	1.900338216	0.050055368
1.842966266	0.063594828	1.842966266	0.055763392
1.788060257	0.06580561	1.788060257	0.059921204
1.735442363	0.068035227	1.735442363	0.06154762
1.684951151	0.07143698	1.684951151	0.063100196
1.63643981	0.074246479	1.63643981	0.065795606
1.589774597	0.075667569	1.589774597	0.067503242
1.544833484	0.079340565	1.544833484	0.068751874
1.501504963	0.108793337	1.501504963	0.070024696
1.459687001	0.1366677	1.459687001	0.072772865
1.419286105	0.164192771	1.419286105	0.074200102
1.380216495	0.231984799	1.380216495	0.075510519
1.342399371	0.563322281	1.342399371	0.080275898
1.305762244	0.864280293	1.305762244	0.101165383
1.270238351	1.160808391	1.270238351	0.120118744
1.235766113	1.610106967	1.235766113	0.138702165
1.202288653	2.308561486	1.202288653	0.172130861
1.169753353	2.727795933	1.169753353	0.25202806
1.138111452	3.137676028	1.138111452	0.313977133
1.10731768	3.34761972	1.10731768	0.37454969
1.077329917	3.335466273	1.077329917	0.519114878
1.04810888	3.024339492	1.04810888	0.762370334
1.019617833	2.714572747	1.019617833	0.949167349
0.991822319	2.088959815	0.991822319	1.131062058
0.964689908	1.66606392	0.964689908	1.567604012
0.938189957	1.31080843	0.938189957	2.236170692
0.912293388	0.947170605	0.912293388	2.768388402
0.886972479	0.506979491	0.886972479	3.284100248
0.862200656	0.397244321	0.862200656	3.690049058
0.837952306	0.290170283	0.837952306	3.653907286
0.814202582	0.184088742	0.814202582	3.287219231
0.790927227	0.087405002	0.790927227	2.928336079
