P_ads	n_Ads	esp_ads	V_Ads	p_Des	n_des	esp_Des	V_des
0.001574	1.2463	226.519	0.49378082	0.939393	1.3644	235.674	33.53678862
0.001642	1.2489	226.489	1.248000107	0.898325	1.3645	235.164	33.56369723
0.033938	1.256	226.694	3.301577576	0.850517	1.3647	234.555	33.61750895
0.095223	1.2617	227.028	4.943823449	0.804698	1.365	233.797	33.6982128
0.156372	1.267	227.382	6.465689576	0.761338	1.3648	233.191	33.64441206
0.215836	1.2716	227.692	7.782531178	0.721355	1.3649	232.475	33.67131334
0.264741	1.2752	228.083	8.810488024	0.681979	1.3649	231.689	33.67131334
0.3123	1.2783	228.451	9.693829426	0.642775	1.3649	230.848	33.67131334
0.354482	1.2809	228.723	10.43337869	0.603635	1.3631	230.109	33.18681013
0.395013	1.2832	229.026	11.08659188	0.566442	1.3602	229.157	32.40497423
0.432383	1.2857	229.311	11.79553638	0.52665	1.3568	228.16	31.48637965
0.470494	1.288	229.546	12.4467799	0.485194	1.3541	226.977	30.75540172
0.509247	1.2902	229.796	13.06882383	0.446579	1.3518	225.78	30.13166602
0.545758	1.2925	230.035	13.71821659	0.404988	1.3484	224.437	29.20785213
0.581108	1.2946	230.507	14.31031298	0.36463	1.3346	223.507	25.43661059
0.615719	1.2975	230.771	15.12666999	0.324669	1.28	227.605	10.17751702
0.652765	1.3014	230.968	16.22214879	0.283102	1.2767	227.432	9.238124518
0.691828	1.3089	231.228	18.32114818	0.241447	1.2734	227.191	8.296796943
0.729647	1.3262	231.845	23.12410477	0.197141	1.2699	226.898	7.296308578
0.767843	1.3434	232.934	27.8454698	0.150635	1.266	226.552	6.178924496
0.807173	1.3609	233.456	32.59383415	0.102382	1.2615	226.29	4.886297552
0.845801	1.3646	234.294	33.590604	0.050079	1.2563	226.054	3.388153922
0.890298	1.3646	234.971	33.590604	0.001872	1.2495	225.764	1.421883093
0.939417	1.3647	235.551	33.61750895	0.001569	1.2448	225.778	0.058117996
0.939393	1.3644	235.674	33.53678862	0.001592	1.2446	225.803	0
