R_ads	pob_:ads	R_Des	pob_des
98.63402845	-4.88793E-06	98.63402845	-0.323052014
66.00586806	5.51724E-07	66.00586806	0.460932078
49.67967355	5.99137E-06	49.67967355	1.24491617
39.87462495	1.14529E-05	39.87462495	2.03284588
33.33043935	1.41645E-05	33.33043935	2.51439896
28.64984462	1.69156E-05	28.64984462	3.003094141
25.13419781	1.97019E-05	25.13419781	3.498135253
22.39535795	2.25182E-05	22.39535795	3.998596839
20.2004352	2.53591E-05	20.2004352	4.503551059
18.40122223	2.82199E-05	18.40122223	3.939272522
16.89890995	3.10956E-05	16.89890995	3.125238871
15.62508827	3.39821E-05	15.62508827	2.209246832
14.5308894	3.68752E-05	14.5308894	1.190636979
13.58047381	3.97713E-05	13.58047381	0.068917098
12.74695897	4.26672E-05	12.74695897	-0.083414894
12.00978503	4.55597E-05	12.00978503	-0.086868884
11.35295852	4.84462E-05	11.35295852	-0.090085106
10.76385079	5.13243E-05	10.76385079	-0.092986686
10.2323568	5.41918E-05	10.2323568	-0.095614675
9.750294349	5.7047E-05	9.750294349	-0.098017765
9.310967104	5.98881E-05	9.310967104	-0.10020342
8.908841616	6.27138E-05	8.908841616	-0.102179491
8.539305102	6.55227E-05	8.539305102	-0.10403663
8.198481352	6.83139E-05	8.198481352	-0.105748489
7.883089115	7.10865E-05	7.883089115	-0.107281803
7.590331955	7.38396E-05	7.590331955	-0.108645092
7.317811716	7.65727E-05	7.317811716	-0.109979654
7.063459877	0.004782483	7.063459877	-0.112357405
6.825482651	0.035125073	6.825482651	-0.114630206
6.602316699	0.066334931	6.602316699	-0.116805926
6.392593146	0.098403067	6.392593146	-0.118892279
6.195108153	0.131320559	6.195108153	-0.120764022
6.008798664	0.160375356	6.008798664	-0.121365044
5.83272232	0.164625169	5.83272232	-0.121858976
5.666040724	0.168830687	5.666040724	-0.122253069
5.508005408	0.23257227	5.508005408	-0.122554316
5.357946025	0.377088127	5.357946025	-0.118706025
5.215260356	0.527005153	5.215260356	-0.114453395
5.07940581	0.683350425	5.07940581	-0.109910318
4.826275385	0.845964576	4.826275385	-0.105058854
4.595155588	0.959918354	4.595155588	-0.100281477
4.383231231	1.000530767	4.383231231	-0.1019107
4.188149924	1.041670998	4.188149924	-0.103624356
4.007929968	1.082138921	4.007929968	-0.105313414
3.840889481	1.127589239	3.840889481	-0.106860613
3.685591266	1.167857943	3.685591266	-0.107091327
3.540799476	1.205978058	3.540799476	-0.104668834
