P_ads	n_ads	esp_Ads	Vads	P_des	n_des	esp_des	Vads
0.001674	1.2112	345.966	0.444713375	0.916801	1.3657	340.918	44.13377327
0.001612	1.2136	346.331	1.155461554	0.874546	1.3654	340.612	44.05310788
0.019663	1.2197	347.066	2.957539026	0.828529	1.3645	340.506	43.81101281
0.084501	1.2247	347.576	4.42991504	0.785744	1.3642	340.085	43.7302815
0.148773	1.2289	348.343	5.663398659	0.744781	1.3636	339.73	43.56876944
0.206508	1.2334	348.459	6.981619597	0.705986	1.3631	339.308	43.43412572
0.256133	1.2372	349.055	8.092061035	0.66574	1.3621	339.108	43.16470099
0.299018	1.2424	349.259	9.60755808	0.626552	1.3617	338.515	43.05687985
0.338213	1.2519	349.078	12.36410125	0.590825	1.3608	338.27	42.81417524
0.376366	1.2743	346.682	18.80102994	0.553259	1.3597	337.965	42.51733499
0.416035	1.3193	339.441	31.46228311	0.516225	1.3588	337.487	42.27430106
0.453232	1.3535	336.945	40.84009683	0.474908	1.3577	337.061	41.97705838
0.490493	1.3582	337.268	42.11219612	0.434589	1.356	336.52	41.51724811
0.527992	1.3597	337.451	42.51733499	0.395485	1.3498	336.399	39.8358173
0.564433	1.3607	337.783	42.78719891	0.354996	1.3246	337.259	32.9294905
0.600379	1.3617	338.089	43.05687985	0.315002	1.2553	348.344	13.34682026
0.638171	1.3622	338.558	43.1916517	0.273543	1.2379	349.27	8.296343455
0.676211	1.3628	338.953	43.35331752	0.231807	1.2336	348.936	7.040126119
0.715207	1.3638	339.087	43.62261412	0.187979	1.2301	348.61	6.015265477
0.751367	1.3642	339.488	43.7302815	0.14218	1.2263	348.467	4.900170816
0.788726	1.3646	339.899	43.83791959	0.094507	1.2229	347.817	3.90035259
0.827395	1.3651	340.194	43.972426	0.041696	1.2187	347.214	2.662550988
0.872772	1.3658	340.405	44.16065808	0.001643	1.2134	346.222	1.09626987
0.913964	1.3657	340.919	44.13377327	0.001633	1.2098	345.947	0.029659409
0.916801	1.3657	340.918	44.13377327	0.001595	1.2097	345.909	0
