P_ads	n_Ads	esp_ads	V_ads	P_Des	n_Des	esp_Des	V_Des
0.001604	1.2684	308.88	0.315179129	0.906559	1.3771	305.318	30.38783867
0.001576	1.2712	309.124	1.116487268	0.864628	1.3767	305.108	30.28111687
0.021209	1.277	309.843	2.771919207	0.819167	1.3765	304.793	30.22774497
0.084258	1.2814	310.413	4.023777094	0.77701	1.3758	304.605	30.04088553
0.14554	1.2855	310.942	5.187177214	0.736386	1.375	304.5	29.82722186
0.202114	1.2896	311.379	6.347576681	0.698905	1.3745	304.251	29.69362247
0.249737	1.2946	311.619	7.758628338	0.658261	1.3738	304.05	29.50650632
0.29394	1.3019	311.755	9.810712453	0.619956	1.373	303.862	29.29254928
0.333852	1.3111	311.594	12.38324698	0.583031	1.3724	303.577	29.1320045
0.373351	1.3311	310.379	17.92293983	0.545437	1.3712	303.479	28.81071699
0.410173	1.3554	304.871	24.55583576	0.50659	1.3702	303.234	28.54277579
0.446705	1.3666	303.386	27.57667034	0.468269	1.3694	302.885	28.32829088
0.485231	1.3692	303.339	28.27465133	0.429022	1.3665	303.052	27.54980019
0.519907	1.3707	303.326	28.67676929	0.391418	1.3568	304.289	24.93469501
0.557149	1.3716	303.549	28.91784215	0.349581	1.3286	310.176	17.2344439
0.594918	1.3725	303.693	29.15876655	0.31074	1.305	311.365	10.67924803
0.631416	1.3731	303.991	29.31930032	0.269517	1.2964	311.629	8.265510296
0.667158	1.3742	303.985	29.61344083	0.227934	1.2912	311.343	6.799600218
0.703952	1.3747	304.284	29.74706773	0.185082	1.2874	311.041	5.725296751
0.739133	1.3749	304.565	29.80050565	0.139827	1.2843	310.509	4.846980186
0.777166	1.3758	304.667	30.04088553	0.093404	1.2808	310.153	3.853272097
0.816729	1.3761	304.936	30.12097915	0.041946	1.2768	309.693	2.714934762
0.860149	1.3765	305.18	30.22774497	0.001605	1.2715	308.933	1.202259376
0.901118	1.3771	305.286	30.38783867	0.001573	1.2675	308.438	0.057321208
0.906559	1.3771	305.318	30.38783867	0.001605	1.2673	308.444	0
