R_ads	pob_ads	R_Des	pob_des
81.78473805	-0.001138934	81.78473805	-0.000710351
54.80135002	0.000227481	54.80135002	0.000194704
41.29757778	0.001593896	41.29757778	0.001099758
33.18601164	0.002967589	33.18601164	0.002009748
27.77083877	0.003679128	27.77083877	0.002491662
23.89670281	0.004403856	23.89670281	0.002982521
20.98591869	0.005140266	20.98591869	0.003481307
18.71754426	0.005886682	18.71754426	0.003986883
16.89900897	0.006641443	16.89900897	0.004498125
15.40776323	0.007402963	15.40776323	0.005013957
14.16210312	0.008169751	14.16210312	0.005533371
13.10546057	0.008940428	13.10546057	0.006055431
12.19742638	0.009713722	12.19742638	0.006579276
11.40836402	0.010488475	11.40836402	0.00710412
10.71604317	0.011263633	10.71604317	0.00762925
10.10346156	0.01203825	10.10346156	0.008154025
9.557392758	0.012811476	9.557392758	0.008677868
9.067392577	0.013582556	9.067392577	0.009200267
8.625103583	0.014350823	8.625103583	0.009720772
8.223758291	0.015115693	8.223758291	0.010238983
7.857817857	0.015876654	7.857817857	0.010754556
7.522705027	0.016633267	7.522705027	0.011267191
7.214603849	0.017385154	7.214603849	0.011776633
6.930307449	0.018131993	6.930307449	0.012282664
6.667100937	0.018840641	6.667100937	0.011743122
6.422670339	0.018430466	6.422670339	0.011077307
6.195031031	0.01797734	6.195031031	0.010369669
5.982470992	0.017481514	5.982470992	0.00962051
5.7835054	0.016943268	5.7835054	0.00883015
5.596840014	0.016395779	5.596840014	0.009040901
5.421341425	0.016919772	5.421341425	0.009333658
5.256012713	0.017439525	5.256012713	0.009624199
5.099973403	0.017954977	5.099973403	0.009912479
4.952442851	0.018186076	4.952442851	0.014323399
4.812726406	0.017861669	4.812726406	0.019674226
4.680203806	0.017514535	4.680203806	0.025134463
4.554319418	0.017144857	4.554319418	0.030702701
4.43457397	0.016807248	4.43457397	0.036493317
4.320517522	0.016804151	4.320517522	0.038421621
4.107883433	0.022481648	4.107883433	0.039974331
3.913596782	0.030488237	3.913596782	0.041812458
3.73532053	0.038783861	3.73532053	0.043795663
3.571100756	0.047304817	3.571100756	0.045801802
3.419290481	0.048431922	3.419290481	0.046177236
3.278491064	0.04374068	3.278491064	0.04523586
3.147506596	0.036775315	3.147506596	0.044059619
3.025308058	0.030723862	3.025308058	0.042783175
2.911004882	0.026277444	2.911004882	0.043845618
2.803822186	0.029242823	2.803822186	0.046763807
2.703082401	0.032962459	2.703082401	0.050605511
2.608190333	0.047363005	2.608190333	0.054446769
2.518620926	0.06509997	2.518620926	0.05974322
2.433909176	0.08118571	2.433909176	0.062921233
2.353641764	0.095573371	2.353641764	0.065751137
2.277450066	0.098822066	2.277450066	0.068531633
2.205004293	0.091397163	2.205004293	0.069559647
2.136008543	0.079481759	2.136008543	0.069050521
2.070196604	0.070527552	2.070196604	0.068138618
2.007328374	0.066525369	2.007328374	0.070640732
1.947186804	0.07359567	1.947186804	0.081238623
1.889575257	0.080600087	1.889575257	0.093451986
1.834315233	0.087545195	1.834315233	0.105588665
1.781244394	0.091255366	1.781244394	0.114924451
1.730214845	0.091549944	1.730214845	0.118359126
1.681091622	0.09173579	1.681091622	0.113503649
1.633751379	0.112374167	1.633751379	0.108530202
1.588081218	0.132952818	1.588081218	0.101240174
1.543977655	0.153267153	1.543977655	0.095417441
1.501345714	0.185298701	1.501345714	0.091811181
1.460098101	0.22790505	1.460098101	0.088127271
1.420154481	0.249396548	1.420154481	0.127170572
1.381440821	0.270241375	1.381440821	0.176818274
1.343888796	0.45531301	1.343888796	0.22686805
1.307435261	0.706578078	1.307435261	0.276129945
1.272021763	0.942777633	1.272021763	0.49649642
1.237594099	1.181260295	1.237594099	0.689004208
1.204101912	1.777935461	1.204101912	0.868910059
1.171498326	2.198694186	1.171498326	1.106471169
1.139739596	2.529283522	1.139739596	1.708655195
1.108784798	2.801701036	1.108784798	2.12626415
1.078595534	2.961721576	1.078595534	2.515197191
1.049135655	2.754494324	1.049135655	2.894291018
1.02037101	2.549306679	1.02037101	3.148312939
0.992269199	2.239774576	0.992269199	3.023038803
0.964799346	1.816895842	0.964799346	2.898001405
0.937931879	1.501824903	0.937931879	2.743887784
0.911638324	1.193454496	0.911638324	2.226837493
0.885891103	0.86596898	0.885891103	1.775967135
0.860663334	0.613358058	0.860663334	1.338467207
0.835928644	0.535548017	0.835928644	0.912000445
0.81166098	0.459288196	0.81166098	0.452520619
0.787834417	0.384544866	0.787834417	0.366498517
0.764422969	0.286296882	0.764422969	0.282606015
0.741400396	0.228688567	0.741400396	0.200803775
0.718740002	0.172473248	0.718740002	0.09475327
0.696414422	0.117614588	0.696414422	0.05871644
0.674395401	0.058015463	0.674395401	0.027173875
0.652653542	0.028912906	0.652653542	-0.003707397
0.631158039	0.001892487	0.631158039	-0.041551577
0.609876369	-0.024452592	0.609876369	-0.059126346
0.588773934	-0.050112127	0.588773934	-0.069659771
0.567813638	-0.068994827	0.567813638	-0.080130864
0.546955387	-0.067312672	0.546955387	-0.090499398
0.52615545	-0.067592823	0.52615545	-0.089026164
0.505365663	-0.068218588	0.505365663	-0.080915246
0.484532386	-0.069100393	0.484532386	-0.073696716
0.463595107	-0.070126951	0.463595107	-0.067256423
0.442484522	-0.069296788	0.442484522	-0.060907599
0.421119799	-0.066544025	0.421119799	-0.058206454
0.399404553	-0.063205598	0.399404553	-0.055720141
0.377220657	-0.059783464	0.377220657	-0.053160832
0.354418286	-0.056066013	0.354418286	-0.050295354
0.330798894	-0.051829596	0.330798894	-0.044737134
0.306083899	-0.047338379	0.306083899	-0.031003236
0.279851098	-0.03545996	0.279851098	-0.019359641
0.251386578	0.007040304	0.251386578	-0.009300509
0.219258427	0.037538125	0.219258427	-0.000130199
0.179506311	0.065029873	0.179506311	0.005550749
0.174690432	0.089241966	0.174690432	0.001865555
0.169609772	0.102916191	0.169609772	9.42353E-05
0.16420498	0.083371662	0.16420498	-0.000409564
0.158392071	0.073031805	0.158392071	-0.000533915
0.152045815	0.062635868	0.152045815	-0.000609865
0.144965729	0.052116332	0.144965729	-0.000633944
0.136796005	0.041554322	0.136796005	-0.000632918
0.126791905	0.030992312	0.126791905	-0.000631892
