P_ads	n_Ads	esp_Ads	V_ads	P_des	n_des	esp_des	V_Des
0.001671	1.2694	213.12	0	0.925358	1.3775	222.158	29.89301122
0.001612	1.2731	213	1.057921327	0.883493	1.3775	221.703	29.89301122
0.02304	1.2826	213.096	3.763074777	0.834286	1.3774	221.279	29.86634085
0.088222	1.2905	213.393	6.00037638	0.79107	1.3773	220.715	29.83966866
0.152101	1.2973	213.782	7.917213404	0.752593	1.3772	220.153	29.81299463
0.211157	1.302	214.294	9.237236815	0.713076	1.377	219.59	29.75964107
0.261053	1.3055	214.851	10.2176525	0.673229	1.3767	218.85	29.67959697
0.306458	1.3085	215.3	11.05625283	0.636067	1.374	218.038	28.95845734
0.347297	1.3111	215.663	11.78172708	0.597145	1.365	216.882	26.54500825
0.386101	1.3133	216.029	12.39463688	0.559234	1.3515	215.961	22.8970334
0.42083	1.3155	216.274	13.00667233	0.520648	1.3366	215.654	18.83211212
0.460999	1.3173	216.771	13.50677776	0.481004	1.3298	215.367	16.96354373
0.497984	1.3193	217.13	14.06176298	0.439391	1.3271	214.863	16.21928165
0.534255	1.3214	217.457	14.64371809	0.401539	1.3237	214.503	15.28018078
0.569785	1.3238	217.79	15.30783132	0.361113	1.3144	215.216	12.70076394
0.607648	1.3271	218.068	16.21928165	0.320806	1.3097	215.235	11.39123865
0.646732	1.3317	218.549	17.48648998	0.280608	1.3069	214.756	10.60920117
0.686056	1.3406	218.903	19.92733997	0.239074	1.3038	214.189	9.741725976
0.724402	1.3506	219.504	22.65265054	0.194364	1.3002	213.717	8.732164924
0.760458	1.3608	220.197	25.4136551	0.147926	1.2961	213.147	7.579550423
0.795332	1.37	220.786	27.88764565	0.09943	1.2908	212.648	6.085117375
0.838215	1.3769	220.912	29.73296153	0.04642	1.284	212.151	4.160370879
0.880958	1.3775	221.519	29.89301122	0.001609	1.2754	211.852	1.714324764
0.925427	1.3778	222.015	29.9730113	0.001558	1.27	211.719	0.171719526
0.925358	1.3775	222.158	29.89301122	0.001568	1.2697	211.718	0.085867728
