R_Ads	pob_ads	R_Des	pob_des
87.45260797	-0.001659842	87.45260797	-0.175917214
58.57039603	2.18052E-05	58.57039603	0.123012813
44.1171997	0.001703453	44.1171997	0.42194284
35.43596931	0.003392697	35.43596931	0.722510598
29.64101206	0.004202133	29.64101206	0.894987081
25.49559445	0.00502532	25.49559445	1.070431321
22.38134282	0.005860687	22.38134282	1.248508396
19.95471028	0.006706461	19.95471028	1.428840217
18.00956342	0.007560878	18.00956342	1.611050564
16.41472173	0.008422253	16.41472173	1.794779601
15.08272735	0.009289006	15.08272735	1.979689511
13.95302873	0.010159668	13.95302873	2.128496627
12.9823713	0.011032891	12.9823713	1.759043641
12.13903192	0.011907443	12.13903192	1.352104288
11.39921536	0.012782208	11.39921536	-0.057749478
10.7447226	0.013656178	10.7447226	-0.057749478
10.16139642	0.014528451	10.16139642	-0.057749478
9.638057823	0.015398225	9.638057823	-0.059648678
9.165761494	0.01626479	9.165761494	-0.061397663
8.737264059	0.017127523	8.737264059	-0.063000847
8.346637309	0.017985879	8.346637309	-0.063697826
7.988982341	0.018839389	7.988982341	-0.063881595
7.66021516	0.019687648	7.66021516	-0.063889447
7.356903735	0.020530313	7.356903735	-0.063727284
7.076142662	0.021367093	7.076142662	-0.063401136
6.815455672	0.022197746	6.815455672	-0.063682297
6.572719035	0.023022072	6.572719035	-0.064188992
6.346100809	0.023839906	6.346100809	-0.06459537
6.134012239	0.024651117	6.134012239	-0.064907097
5.935068564	0.06078064	5.935068564	-0.065129756
5.748057167	0.118107378	5.748057167	-0.066195996
5.571911524	0.176905041	5.571911524	-0.067367413
5.405689741	0.237156893	5.405689741	-0.068493671
5.248556777	0.298846391	5.248556777	-0.069579505
5.099769624	0.326632139	5.099769624	-0.070629486
4.958664897	0.334618959	4.958664897	-0.070720843
4.824648374	0.342517032	4.824648374	-0.070601549
4.69718615	0.37835725	4.69718615	-0.070402583
4.575797121	0.441373711	4.575797121	-0.06955604
4.349540621	0.507608732	4.349540621	-0.068550591
4.142863805	0.577569805	4.142863805	-0.067377586
3.953268793	0.663754075	3.953268793	-0.065383874
3.778667623	0.725213448	3.778667623	-0.061302149
3.617300721	0.76259556	3.617300721	-0.057577943
3.467674169	0.792543137	3.467674169	-0.053731132
3.32851089	0.811996915	3.32851089	-0.049806534
3.198712292	0.817583517	3.198712292	-0.046503637
3.077327825	0.822091161	3.077327825	-0.045071227
2.963530618	0.811863477	2.963530618	-0.043648666
2.856597819	0.79836294	2.856597819	-0.026126674
2.755894606	0.792987297	2.755894606	0.02630418
2.660861093	0.786470054	2.660861093	0.079451352
2.571001544	0.71961209	2.571001544	0.133204551
2.485875411	0.635225135	2.485875411	0.266011736
2.405089865	0.558135487	2.405089865	0.43586807
2.328293524	0.479411261	2.328293524	0.572330147
2.255171158	0.377474436	2.255171158	0.709436313
2.185439209	0.3263114	2.185439209	0.927375422
2.118841958	0.303551925	2.118841958	1.100115541
2.055148255	0.28015706	2.055148255	1.220748566
1.9941487	0.238832962	1.9941487	1.340611272
1.935653214	0.218156284	1.935653214	1.487592636
1.879488926	0.203807932	1.879488926	1.555536689
1.825498335	0.184477087	1.825498335	1.589320042
1.773537707	0.158529718	1.773537707	1.608003891
1.72347566	0.149604219	1.72347566	1.430186211
1.675191924	0.140815269	1.675191924	1.223703973
1.62857624	0.129916534	1.62857624	1.014433075
1.583527389	0.122944612	1.583527389	0.794000076
1.539952317	0.122059377	1.539952317	0.488508948
1.497765365	0.119746961	1.497765365	0.379082865
1.456887566	0.106094976	1.456887566	0.270152661
1.41724602	0.094307654	1.41724602	0.161832057
1.378773329	0.082989132	1.378773329	0.089936138
1.341407081	0.073538967	1.341407081	0.118567906
1.305089379	0.085888293	1.305089379	0.146655362
1.269766418	0.109073653	1.269766418	0.196507843
1.235388093	0.131785568	1.235388093	0.367849317
1.201907633	0.148629137	1.201907633	0.511210999
1.169281272	0.159795485	1.169281272	0.650015973
1.137467936	0.15010097	1.137467936	0.77300222
1.106428958	0.140444482	1.106428958	0.76900378
1.076127803	0.138040524	1.076127803	0.642448769
1.046529816	0.143550934	1.046529816	0.518024834
1.017601984	0.152196176	1.017601984	0.392028191
0.9893127	0.160470131	0.9893127	0.238702518
0.961631551	0.168120471	0.961631551	0.190534033
0.934529101	0.168045229	0.934529101	0.143350564
0.907976692	0.165095284	0.907976692	0.097303847
0.881946236	0.16197427	0.881946236	0.058379526
0.856410024	0.159302666	0.856410024	0.062724477
0.831340524	0.161957744	0.831340524	0.066667821
0.806710186	0.164299948	0.806710186	0.070179975
0.782491233	0.166171034	0.782491233	0.079525359
0.758655455	0.167546762	0.758655455	0.086368067
0.735173984	0.168623965	0.735173984	0.092479476
0.712017059	0.170213988	0.712017059	0.097828068
0.689153768	0.171098325	0.689153768	0.105356318
0.66655176	0.171250897	0.66655176	0.109180451
0.644176921	0.17064829	0.644176921	0.111419931
0.621992996	0.168414214	0.621992996	0.112730329
0.599961146	0.162945632	0.599961146	0.113104205
0.578039406	0.170761796	0.578039406	0.121268711
0.556182015	0.176821749	0.556182015	0.126980446
